PTA_Cmin_75,PTA_Cmin_80,PTA_fAUC_200,DAY,CKDEPI
90.485,0,84.118,1,5
95.024,0.003,91.713,2,5
99.394,0.235,100,6,5
99.63,0.41,99.355,7,5
99.953,2.659,100,13,5
99.961,3.185,99.942,14,5
89.12,0,82.67,1,15
93.435,0.001,89.93,2,15
98.493,0.015,100,6,15
98.767,0.034,98.558,7,15
99.334,0.247,100,13,15
99.393,0.319,99.521,14,15
88.465,0,82.803,1,25
92.039,0,89.01,2,25
96.478,0.007,99.999,6,25
96.791,0.01,96.706,7,25
97.5,0.065,100,13,25
97.579,0.074,98.017,14,25
86.856,0,81.559,1,35
89.801,0,86.989,2,35
93.445,0.003,99.999,6,35
93.663,0.002,93.963,7,35
94.572,0.018,100,13,35
94.669,0.031,95.522,14,35
86.402,0,81.576,1,45
88.06,0,86.075,2,45
89.876,0.001,99.999,6,45
90.005,0,90.625,7,45
90.755,0.009,100,13,45
90.663,0.008,92.056,14,45
84.552,0,79.965,1,55
85.494,0,83.739,2,55
85.801,0,99.999,6,55
86.043,0,86.92,7,55
86.849,0.002,100,13,55
86.821,0.007,88.41,14,55
83.986,0,80.415,1,65
83.469,0,82.821,2,65
81.832,0,99.998,6,65
82.003,0.001,83.178,7,65
82.592,0.005,100,13,65
82.584,0.009,84.431,14,65
83.418,0,80.308,1,75
81.368,0,81.711,2,75
77.582,0,99.994,6,75
77.609,0,79.408,7,75
77.87,0.001,100,13,75
77.958,0.001,80.381,14,75
82.088,0,79.828,1,85
78.636,0,79.669,2,85
73.469,0,99.996,6,85
73.241,0,75.2,7,85
73.653,0.003,99.999,13,85
73.449,0.001,76.12,14,85
80.279,0,78.675,1,95
75.686,0,77.505,2,95
69.444,0,99.986,6,95
69.097,0,71.105,7,95
69.488,0.001,99.997,13,95
69.444,0.001,71.937,14,95
79.983,0,79.184,1,105
73.955,0,76.662,2,105
65.841,0,99.986,6,105
65.42,0,67.683,7,105
65.674,0,99.999,13,105
65.735,0,68.095,14,105
78.312,0,78.058,1,115
70.941,0,74.218,2,115
62.222,0,99.967,6,115
61.692,0,63.886,7,115
61.982,0,100,13,115
62.029,0.001,64.431,14,115
76.759,0,77.485,1,125
68.411,0,72.319,2,125
58.664,0,99.964,6,125
58.283,0,60.479,7,125
58.333,0,99.999,13,125
58.524,0,60.868,14,125
77.215,0,79.169,1,135
67.044,0,72.413,2,135
55.367,0,99.956,6,135
54.648,0,57.68,7,135
54.447,0,100,13,135
54.584,0,57.627,14,135
72.918,0,74.618,1,145
63.017,0,67.43,2,145
52.776,0,99.916,6,145
52.442,0,54.02,7,145
52.472,0,99.998,13,145
52.511,0,54.343,14,145
74.011,0,77.237,1,155
62.075,0,68.126,2,155
49.415,0,99.917,6,155
49.196,0,51.719,7,155
48.757,0,99.994,13,155
48.838,0,51.611,14,155
71.198,0,74.918,1,165
58.841,0,64.806,2,165
46.616,0,99.895,6,165
45.972,0,48.075,7,165
45.874,0,99.99,13,165
46.065,0,48.052,14,165
69.525,0,73.582,1,175
56.817,0,62.677,2,175
44.476,0,99.849,6,175
44.153,0,45.614,7,175
43.89,0,99.996,13,175
43.929,0,45.74,14,175
68.77,0,73.739,1,185
55.037,0,61.483,2,185
42.093,0,99.817,6,185
41.509,0,43.444,7,185
41.333,0,99.988,13,185
41.447,0,43.322,14,185
69.185,0,76.166,1,195
53.88,0,61.885,2,195
39.168,0,99.784,6,195
38.772,0,41.389,7,195
38.313,0,99.987,13,195
38.487,0,41.012,14,195
66.834,0,74.129,1,205
51.053,0,58.952,2,205
37.111,0,99.743,6,205
36.507,0,38.823,7,205
36.384,0,99.984,13,205
36.305,0,38.57,14,205
65.185,0,73.18,1,215
49.18,0,56.998,2,215
35.473,0,99.684,6,215
34.876,0,36.817,7,215
34.499,0,99.981,13,215
34.596,0,36.548,14,215
