PTA_Cmin_75,PTA_Cmin_80,PTA_fAUC_200,DAY,CKDEPI
97.805,0.116,95.757,1,5
99.615,1.747,99.294,2,5
99.997,30.383,100,6,5
99.998,38.483,99.998,7,5
100,69.205,100,13,5
100,72.224,100,14,5
97.613,0.02,95.504,1,15
99.578,0.521,99.256,2,15
99.994,13.578,100,6,15
99.998,17.802,99.997,7,15
99.999,38.722,100,13,15
100,40.71,100,14,15
97.323,0.031,95.412,1,25
99.487,0.357,99.152,2,25
99.978,8.125,100,6,25
99.986,10.744,99.994,7,25
99.989,23.69,100,13,25
99.992,25.271,100,14,25
96.955,0.007,94.92,1,35
99.305,0.173,99.002,2,35
99.937,4.866,100,6,35
99.951,6.553,99.994,7,35
99.958,14.949,100,13,35
99.961,15.95,99.999,14,35
96.818,0.004,94.903,1,45
99.256,0.099,98.977,2,45
99.882,3.245,100,6,45
99.891,4.295,99.987,7,45
99.915,10.136,100,13,45
99.89,10.863,99.995,14,45
96.527,0.004,94.639,1,55
99.027,0.076,98.837,2,55
99.79,2.072,100,6,55
99.781,2.827,99.978,7,55
99.781,6.996,100,13,55
99.783,7.585,99.985,14,55
96.407,0.003,94.649,1,65
98.869,0.06,98.757,2,65
99.57,1.514,100,6,65
99.581,2.097,99.956,7,65
99.588,5.06,100,13,65
99.587,5.425,99.967,14,65
96.229,0.003,94.806,1,75
98.6,0.038,98.741,2,75
99.3,1.094,100,6,75
99.346,1.567,99.926,7,75
99.338,3.875,100,13,75
99.349,4.02,99.941,14,75
96.017,0,94.742,1,85
98.251,0.033,98.674,2,85
98.948,0.798,100,6,85
98.998,1.116,99.866,7,85
98.981,2.836,100,13,85
98.972,3.011,99.887,14,85
95.448,0,94.234,1,95
97.942,0.024,98.525,2,95
98.692,0.61,100,6,95
98.678,0.882,99.824,7,95
98.722,2.191,100,13,95
98.698,2.42,99.845,14,95
95.48,0.001,94.683,1,105
97.575,0.014,98.547,2,105
98.293,0.481,100,6,105
98.282,0.632,99.757,7,105
98.368,1.626,100,13,105
98.34,1.788,99.782,14,105
94.952,0,94.321,1,115
97.077,0.013,98.335,2,115
97.777,0.426,100,6,115
97.75,0.492,99.62,7,115
97.804,1.395,100,13,115
97.803,1.46,99.656,14,115
94.398,0.001,94.012,1,125
96.424,0.012,98.081,2,125
97.191,0.319,100,6,125
97.177,0.433,99.563,7,125
97.2,1.103,100,13,125
97.231,1.218,99.604,14,125
94.651,0,94.863,1,135
96.08,0.009,98.349,2,135
96.562,0.239,100,6,135
96.534,0.374,99.479,7,135
96.595,0.904,100,13,135
96.63,0.935,99.509,14,135
93.017,0,92.854,1,145
95.21,0.002,97.532,2,145
96.141,0.216,100,6,145
96.089,0.294,99.268,7,145
96.167,0.689,100,13,145
96.26,0.776,99.32,14,145
93.452,0,94.182,1,155
94.907,0.01,97.921,2,155
95.288,0.162,100,6,155
95.25,0.2,99.185,7,155
95.254,0.58,100,13,155
95.296,0.599,99.229,14,155
92.52,0,93.24,1,165
93.92,0.002,97.43,2,165
94.599,0.142,100,6,165
94.674,0.172,98.966,7,165
94.628,0.493,100,13,165
94.714,0.51,99.023,14,165
91.636,0,92.509,1,175
93.19,0.001,96.976,2,175
93.865,0.105,100,6,175
93.945,0.154,98.753,7,175
94.085,0.398,100,13,175
94.004,0.442,98.811,14,175
91.347,0,92.775,1,185
92.565,0.001,96.861,2,185
93.284,0.08,100,6,185
93.299,0.129,98.507,7,185
93.409,0.356,100,13,185
93.345,0.381,98.575,14,185
91.608,0,93.824,1,195
91.785,0.001,97.156,2,195
91.931,0.096,100,6,195
92.038,0.119,98.289,7,195
92.015,0.29,100,13,195
92.033,0.297,98.337,14,195
90.495,0,92.855,1,205
90.738,0.001,96.62,2,205
91.009,0.063,100,6,205
91.128,0.098,98.036,7,205
91.119,0.26,100,13,205
91.147,0.266,98.116,14,205
89.749,0,92.65,1,215
90.011,0.002,96.331,2,215
90.214,0.045,100,6,215
90.228,0.077,97.772,7,215
90.302,0.23,100,13,215
90.316,0.22,97.845,14,215
