PTA_Cmin_75,PTA_Cmin_80,PTA_fAUC_200,DAY,CKDEPI
97.949,0.083,95.985,1,5
99.365,0.562,98.877,2,5
99.98,10.4,100,6,5
99.992,14.249,99.985,7,5
99.999,36.59,100,13,5
100,39.744,100,14,5
97.736,0.017,95.739,1,15
99.264,0.147,98.743,2,15
99.969,2.852,100,6,15
99.975,4.073,99.984,7,15
99.99,11.952,100,13,15
99.987,13.277,99.998,14,15
97.52,0.02,95.733,1,25
99.098,0.09,98.59,2,25
99.861,1.312,100,6,25
99.89,1.83,99.956,7,25
99.902,5.609,100,13,25
99.925,6.178,99.977,14,25
97.102,0.006,95.199,1,35
98.742,0.038,98.285,2,35
99.654,0.622,100,6,35
99.665,0.924,99.884,7,35
99.71,2.825,100,13,35
99.728,3.15,99.935,14,35
96.989,0.004,95.188,1,45
98.57,0.016,98.29,2,45
99.33,0.351,99.999,6,45
99.31,0.512,99.796,7,45
99.358,1.567,100,13,45
99.377,1.745,99.851,14,45
96.787,0.003,95.036,1,55
98.142,0.012,97.975,2,55
98.849,0.194,100,6,55
98.831,0.328,99.638,7,55
98.842,0.929,100,13,55
98.86,1.054,99.692,14,55
96.588,0.003,94.904,1,65
97.711,0.009,97.817,2,65
98.037,0.145,100,6,65
98.034,0.218,99.276,7,65
98.073,0.638,100,13,65
98.083,0.669,99.361,14,65
96.388,0.002,95.023,1,75
97.185,0.007,97.68,2,75
97.221,0.068,99.999,6,75
97.217,0.142,98.992,7,75
97.248,0.412,100,13,75
97.275,0.435,99.078,14,75
96.282,0,95.076,1,85
96.56,0.006,97.585,2,85
96.1,0.056,99.999,6,85
96.111,0.074,98.487,7,85
96.136,0.286,100,13,85
96.158,0.335,98.579,14,85
95.696,0,94.603,1,95
95.903,0.007,97.119,2,95
95.072,0.047,100,6,95
95.071,0.063,98.04,7,95
95.073,0.189,100,13,95
95.112,0.212,98.139,14,95
95.656,0,94.949,1,105
95.277,0.001,97.083,2,105
93.944,0.025,100,6,105
93.905,0.048,97.544,7,105
93.881,0.145,100,13,105
93.965,0.158,97.64,14,105
95.163,0,94.634,1,115
94.395,0.004,96.634,2,115
92.545,0.031,100,6,115
92.495,0.034,96.773,7,115
92.514,0.122,100,13,115
92.542,0.134,96.872,14,115
94.582,0.001,94.245,1,125
93.341,0.004,96.149,2,125
91.098,0.02,99.999,6,125
90.945,0.029,96.017,7,125
91.019,0.075,100,13,125
91.092,0.093,96.138,14,125
94.811,0,95.077,1,135
92.837,0.002,96.465,2,135
89.55,0.011,100,6,135
89.469,0.026,95.402,7,135
89.567,0.064,100,13,135
89.428,0.078,95.461,14,135
93.259,0,93.217,1,145
91.337,0,95,2,145
88.451,0.009,100,6,145
88.431,0.014,94.359,7,145
88.585,0.056,100,13,145
88.421,0.06,94.506,14,145
93.644,0,94.445,1,155
90.675,0.001,95.411,2,155
86.633,0.01,99.999,6,155
86.567,0.015,93.652,7,155
86.543,0.033,100,13,155
86.448,0.037,93.754,14,155
92.767,0,93.531,1,165
89.254,0,94.401,2,165
85.056,0.004,99.999,6,165
84.971,0.011,92.491,7,165
84.873,0.024,100,13,165
85.018,0.038,92.58,14,165
91.978,0,92.945,1,175
88.062,0.001,93.848,2,175
83.754,0.003,100,6,175
83.71,0.009,91.63,7,175
83.661,0.025,100,13,175
83.669,0.031,91.786,14,175
91.624,0,93.068,1,185
87.165,0,93.352,2,185
82.349,0.005,99.999,6,185
82.074,0.006,90.735,7,185
82.085,0.021,100,13,185
82.073,0.023,90.871,14,185
91.788,0,93.944,1,195
86.129,0,93.602,2,195
80.113,0.001,100,6,195
80.09,0.003,89.67,7,195
80.033,0.014,100,13,195
79.996,0.018,89.742,14,195
90.749,0,93.113,1,205
84.558,0,92.507,2,205
78.378,0.003,99.999,6,205
78.304,0.003,88.403,7,205
78.167,0.014,99.999,13,205
78.114,0.016,88.526,14,205
90.18,0,93.034,1,215
83.424,0,91.933,2,215
76.894,0.004,99.997,6,215
76.766,0.005,87.173,7,215
76.858,0.015,100,13,215
76.791,0.016,87.262,14,215
