PTA_Cmin_75,PTA_Cmin_80,PTA_fAUC_200,DAY,CKDEPI
90.751,0,84.478,1,5
95.277,0.002,92.1,2,5
99.438,0.202,100,6,5
99.659,0.344,99.416,7,5
99.956,2.488,100,13,5
99.964,3.013,99.951,14,5
89.377,0,82.988,1,15
93.658,0.001,90.208,2,15
98.548,0.012,100,6,15
98.822,0.029,98.618,7,15
99.349,0.235,100,13,15
99.407,0.307,99.536,14,15
88.809,0,83.22,1,25
92.386,0,89.457,2,25
96.596,0.005,99.999,6,25
96.932,0.01,96.881,7,25
97.558,0.057,100,13,25
97.638,0.073,98.051,14,25
87.132,0,81.768,1,35
90.024,0,87.252,2,35
93.617,0.003,99.999,6,35
93.84,0.002,94.089,7,35
94.687,0.016,100,13,35
94.762,0.028,95.57,14,35
86.578,0,81.799,1,45
88.328,0,86.292,2,45
90.078,0.001,99.999,6,45
90.182,0,90.77,7,45
90.909,0.007,100,13,45
90.815,0.005,92.09,14,45
85.027,0,80.634,1,55
85.906,0,84.293,2,55
86.023,0,99.999,6,55
86.288,0,87.113,7,55
86.998,0.002,100,13,55
86.967,0.008,88.45,14,55
84.11,0,80.583,1,65
83.744,0,83.031,2,65
82.137,0,99.998,6,65
82.261,0,83.329,7,65
82.796,0.003,100,13,65
82.809,0.009,84.468,14,65
83.527,0,80.547,1,75
81.615,0,81.933,2,75
77.885,0,99.994,6,75
77.939,0,79.509,7,75
78.087,0.001,100,13,75
78.177,0.001,80.417,14,75
82.449,0,80.303,1,85
79.039,0,80.111,2,85
73.879,0,99.996,6,85
73.578,0,75.396,7,85
73.84,0.003,99.999,13,85
73.701,0.001,76.169,14,85
80.537,0,79.026,1,95
76.08,0,77.845,2,95
69.78,0,99.988,6,95
69.444,0,71.273,7,95
69.717,0.001,99.997,13,95
69.671,0.001,71.988,14,95
80.144,0,79.336,1,105
74.301,0,76.776,2,105
66.155,0,99.987,6,105
65.697,0,67.826,7,105
65.908,0,99.999,13,105
65.944,0,68.146,14,105
78.592,0,78.335,1,115
71.331,0,74.453,2,115
62.52,0,99.968,6,115
61.994,0,64.083,7,115
62.154,0.001,100,13,115
62.281,0.001,64.457,14,115
77.03,0,77.739,1,125
68.772,0,72.602,2,125
59.008,0,99.963,6,125
58.622,0,60.634,7,125
58.554,0,99.999,13,125
58.764,0,60.903,14,125
77.223,0,79.141,1,135
67.318,0,72.395,2,135
55.778,0,99.957,6,135
55.105,0,57.801,7,135
54.834,0,100,13,135
54.939,0,57.669,14,135
73.272,0,74.928,1,145
63.424,0,67.773,2,145
53.061,0,99.918,6,145
52.708,0,54.172,7,145
52.671,0,99.998,13,145
52.697,0,54.38,14,145
74.145,0,77.291,1,155
62.448,0,68.24,2,155
49.78,0,99.917,6,155
49.542,0,51.832,7,155
49.066,0,99.994,13,155
49.119,0,51.637,14,155
71.414,0,75.127,1,165
59.195,0,65.03,2,165
46.927,0,99.898,6,165
46.267,0,48.207,7,165
46.076,0,99.99,13,165
46.263,0,48.075,14,165
69.931,0,74.045,1,175
57.25,0,63.085,2,175
44.766,0,99.854,6,175
44.427,0,45.809,7,175
44.084,0,99.996,13,175
44.08,0,45.772,14,175
69.108,0,74.095,1,185
55.412,0,61.779,2,185
42.348,0,99.822,6,185
41.76,0,43.572,7,185
41.458,0,99.988,13,185
41.582,0,43.354,14,185
69.223,0,75.958,1,195
54.282,0,61.834,2,195
39.599,0,99.787,6,195
39.132,0,41.498,7,195
38.634,0,99.987,13,195
38.814,0,41.031,14,195
66.927,0,74.022,1,205
51.454,0,58.975,2,205
37.503,0,99.744,6,205
36.901,0,38.908,7,205
36.64,0,99.984,13,205
36.595,0,38.617,14,205
65.496,0,73.292,1,215
49.614,0,57.191,2,215
35.802,0,99.687,6,215
35.204,0,36.966,7,215
34.74,0,99.981,13,215
34.818,0,36.576,14,215
