PTA_Cmin_75,PTA_Cmin_80,PTA_fAUC_200,DAY,CKDEPI
95.939,0.01,92.603,1,5
99.263,0.281,98.717,2,5
99.993,14.483,100,6,5
99.999,20.336,99.997,7,5
99.999,50.255,100,13,5
99.999,53.635,99.999,14,5
95.667,0.005,92.396,1,15
99.216,0.125,98.618,2,15
99.985,6.071,100,6,15
99.983,8.715,99.995,7,15
99.992,24.287,100,13,15
99.99,26.322,99.997,14,15
94.711,0.002,91.717,1,25
98.713,0.055,98.221,2,25
99.867,2.921,100,6,25
99.87,4.303,99.96,7,25
99.892,12.694,100,13,25
99.895,13.999,99.972,14,25
93.959,0,91.111,1,35
98.25,0.045,97.945,2,35
99.639,1.974,100,6,35
99.656,2.92,99.895,7,35
99.681,8.553,100,13,35
99.682,9.249,99.919,14,35
93.414,0.001,90.712,1,45
97.812,0.022,97.672,2,45
99.338,1.184,100,6,45
99.368,1.788,99.791,7,45
99.425,5.311,100,13,45
99.396,5.862,99.824,14,45
92.876,0.001,90.719,1,55
97.288,0.015,97.516,2,55
98.927,0.89,100,6,55
98.92,1.319,99.653,7,55
98.942,4.003,100,13,55
98.936,4.516,99.692,14,55
91.969,0,90.355,1,65
96.467,0.007,97.048,2,65
98.274,0.61,100,6,65
98.304,0.905,99.424,7,65
98.382,2.749,100,13,65
98.393,3.025,99.491,14,65
90.573,0,89.591,1,75
95.009,0.01,96.199,2,75
97.006,0.433,100,6,75
97.057,0.64,98.758,7,75
97.104,2.026,100,13,75
97.137,2.134,98.834,14,75
89.869,0,89.345,1,85
94.185,0.004,95.952,2,85
96.224,0.332,99.999,6,85
96.261,0.443,98.532,7,85
96.352,1.481,100,13,85
96.324,1.578,98.617,14,85
89.305,0,88.965,1,95
93.649,0.005,95.661,2,95
95.753,0.243,100,6,95
95.77,0.382,98.306,7,95
95.91,1.132,100,13,95
95.883,1.303,98.396,14,95
88.708,0,88.923,1,105
93.036,0.002,95.532,2,105
95.128,0.168,100,6,105
95.217,0.247,98.215,7,105
95.334,0.761,100,13,105
95.269,0.826,98.303,14,105
88.041,0,88.737,1,115
92.082,0.005,95.101,2,115
94.079,0.143,100,6,115
94.179,0.183,97.703,7,115
94.282,0.695,100,13,115
94.247,0.739,97.814,14,115
86.655,0,88.14,1,125
90.279,0.001,94.096,2,125
92.428,0.138,99.999,6,125
92.427,0.193,96.723,7,125
92.591,0.635,100,13,125
92.642,0.702,96.858,14,125
85.056,0,87.574,1,135
88.59,0.001,93.406,2,135
90.712,0.08,100,6,135
90.71,0.117,95.964,7,135
90.977,0.397,100,13,135
91.003,0.397,96.117,14,135
86.241,0,88.274,1,145
89.545,0.002,93.869,2,145
91.352,0.104,100,6,145
91.548,0.172,96.358,7,145
91.664,0.535,100,13,145
91.728,0.58,96.495,14,145
83.894,0,87.316,1,155
86.987,0.002,92.653,2,155
88.8,0.075,100,6,155
88.925,0.103,95.037,7,155
89.095,0.323,100,13,155
89.067,0.351,95.196,14,155
83.636,0,87.211,1,165
86.446,0,92.482,2,165
88.49,0.077,100,6,165
88.527,0.113,94.74,7,165
88.658,0.324,100,13,165
88.632,0.354,94.891,14,165
83.205,0,87.259,1,175
85.705,0.001,91.99,2,175
87.517,0.072,100,6,175
87.677,0.12,94.189,7,175
87.829,0.317,100,13,175
87.836,0.376,94.34,14,175
82.781,0,87.057,1,185
85.048,0,91.8,2,185
86.979,0.059,99.998,6,185
87.009,0.075,94.11,7,185
87.157,0.235,100,13,185
87.192,0.265,94.27,14,185
79.705,0,85.75,1,195
81.884,0,90.172,2,195
83.755,0.034,99.997,6,195
83.887,0.034,92.365,7,195
84.021,0.129,100,13,195
83.996,0.137,92.575,14,195
79.14,0,85.546,1,205
80.867,0,89.38,2,205
82.502,0.036,99.994,6,205
82.572,0.05,91.287,7,205
82.751,0.172,100,13,205
82.756,0.186,91.479,14,205
79.285,0,85.827,1,215
80.706,0.002,89.487,2,215
82.233,0.024,99.998,6,215
82.38,0.042,91.501,7,215
82.733,0.141,100,13,215
82.601,0.144,91.706,14,215
