PTA_Cmin_75,PTA_Cmin_80,PTA_fAUC_200,DAY,CKDEPI
90.751,0,84.478,1,5
97.778,0.024,96.043,2,5
99.962,6.161,100,6,5
99.982,9.589,99.972,7,5
99.999,32.801,100,13,5
100,36.118,99.999,14,5
89.377,0,82.988,1,15
97.181,0.006,95.386,2,15
99.93,1.489,100,6,15
99.957,2.493,99.964,7,15
99.99,10.415,100,13,15
99.987,11.748,99.997,14,15
88.809,0,83.22,1,25
96.6,0.002,95.056,2,25
99.809,0.658,100,6,25
99.864,1.083,99.915,7,25
99.901,4.811,100,13,25
99.925,5.432,99.977,14,25
87.132,0,81.768,1,35
95.652,0,94.118,2,35
99.546,0.315,100,6,35
99.614,0.527,99.833,7,35
99.71,2.431,100,13,35
99.725,2.779,99.934,14,35
86.578,0,81.799,1,45
95.018,0.001,93.749,2,45
99.165,0.175,99.999,6,45
99.229,0.292,99.704,7,45
99.353,1.313,100,13,45
99.374,1.515,99.846,14,45
85.027,0,80.634,1,55
93.961,0,93.085,2,55
98.646,0.098,100,6,55
98.708,0.167,99.521,7,55
98.837,0.767,100,13,55
98.858,0.933,99.685,14,55
84.11,0,80.583,1,65
92.925,0,92.549,2,65
97.77,0.069,100,6,65
97.888,0.128,99.116,7,65
98.061,0.534,100,13,65
98.076,0.581,99.353,14,65
83.527,0,80.547,1,75
91.93,0,92.234,2,75
96.906,0.034,99.999,6,75
97.014,0.078,98.814,7,75
97.237,0.338,100,13,75
97.262,0.363,99.072,14,75
82.449,0,80.303,1,85
90.604,0,91.583,2,85
95.671,0.025,99.999,6,85
95.87,0.044,98.268,7,85
96.121,0.241,100,13,85
96.142,0.285,98.568,14,85
80.537,0,79.026,1,95
89.041,0,90.532,2,95
94.544,0.018,100,6,95
94.8,0.03,97.806,7,95
95.053,0.16,100,13,95
95.103,0.19,98.129,14,95
80.144,0,79.336,1,105
88.017,0,90.374,2,105
93.411,0.009,100,6,105
93.566,0.026,97.287,7,105
93.86,0.118,100,13,105
93.951,0.143,97.62,14,105
78.592,0,78.335,1,115
86.374,0,89.299,2,115
91.932,0.013,100,6,115
92.16,0.014,96.426,7,115
92.477,0.105,100,13,115
92.521,0.121,96.851,14,115
77.03,0,77.739,1,125
84.662,0,88.37,2,125
90.415,0.009,99.999,6,125
90.544,0.014,95.655,7,125
90.987,0.064,100,13,125
91.074,0.076,96.109,14,125
77.223,0,79.141,1,135
83.854,0,88.815,2,135
88.83,0.002,100,6,135
89.083,0.017,95.064,7,135
89.535,0.05,100,13,135
89.402,0.07,95.441,14,135
73.272,0,74.928,1,145
81.153,0,85.595,2,145
87.591,0.003,99.999,6,145
87.89,0.007,93.889,7,145
88.539,0.045,100,13,145
88.392,0.048,94.479,14,145
74.145,0,77.291,1,155
80.306,0,86.508,2,155
85.767,0.005,99.998,6,155
86.049,0.008,93.216,7,155
86.515,0.026,100,13,155
86.426,0.031,93.727,14,155
71.414,0,75.127,1,165
78.095,0,84.502,2,165
84.082,0.001,99.999,6,165
84.423,0.008,91.973,7,165
84.827,0.019,100,13,165
84.987,0.032,92.559,14,165
69.931,0,74.045,1,175
76.431,0,83.3,2,175
82.749,0.001,99.999,6,175
83.122,0.002,91.069,7,175
83.621,0.022,100,13,175
83.634,0.024,91.748,14,175
69.108,0,74.095,1,185
75.1,0,82.676,2,185
81.252,0.004,99.999,6,185
81.421,0.003,90.11,7,185
82.026,0.021,100,13,185
82.041,0.019,90.835,14,185
69.223,0,75.958,1,195
74.026,0,83.005,2,195
79.079,0,100,6,195
79.528,0.001,89.075,7,195
79.989,0.011,100,13,195
79.959,0.015,89.697,14,195
66.927,0,74.022,1,205
71.824,0,81.2,2,205
77.309,0.001,99.999,6,205
77.632,0.001,87.782,7,205
78.114,0.009,99.999,13,205
78.071,0.013,88.486,14,205
65.496,0,73.292,1,215
70.06,0,80.009,2,215
75.776,0.004,99.997,6,215
76.033,0.002,86.497,7,215
76.812,0.013,100,13,215
76.751,0.012,87.207,14,215
