PTA_Cmin_75,PTA_Cmin_80,PTA_fAUC_200,DAY,CKDEPI
97.949,0.083,95.985,1,5
99.656,1.49,99.364,2,5
99.998,29.65,100,6,5
99.999,37.889,99.998,7,5
100,69.24,100,13,5
100,72.298,100,14,5
97.736,0.017,95.739,1,15
99.629,0.464,99.313,2,15
99.994,13.285,100,6,15
99.998,17.55,99.998,7,15
99.999,38.696,100,13,15
100,40.758,100,14,15
97.52,0.02,95.733,1,25
99.558,0.291,99.26,2,25
99.981,7.836,100,6,25
99.988,10.455,99.996,7,25
99.99,23.711,100,13,25
99.993,25.298,100,14,25
97.102,0.006,95.199,1,35
99.358,0.149,99.105,2,35
99.943,4.706,100,6,35
99.952,6.397,99.994,7,35
99.963,14.946,100,13,35
99.962,15.985,99.999,14,35
96.989,0.004,95.188,1,45
99.313,0.085,99.069,2,45
99.889,3.107,100,6,45
99.904,4.195,99.987,7,45
99.918,10.101,100,13,45
99.903,10.914,99.995,14,45
96.787,0.003,95.036,1,55
99.108,0.063,98.954,2,55
99.806,2.045,100,6,55
99.796,2.835,99.978,7,55
99.8,7.056,100,13,55
99.806,7.648,99.985,14,55
96.588,0.003,94.904,1,65
98.938,0.047,98.836,2,65
99.595,1.464,100,6,65
99.597,2.051,99.96,7,65
99.63,5.088,100,13,65
99.61,5.441,99.967,14,65
96.388,0.002,95.023,1,75
98.67,0.031,98.825,2,75
99.332,1.053,100,6,75
99.379,1.535,99.927,7,75
99.375,3.868,100,13,75
99.388,4.048,99.941,14,75
96.282,0,95.076,1,85
98.356,0.026,98.771,2,85
99.016,0.779,100,6,85
99.066,1.118,99.87,7,85
99.035,2.858,100,13,85
99.024,3.015,99.887,14,85
95.696,0,94.603,1,95
98.043,0.022,98.637,2,95
98.743,0.594,100,6,95
98.753,0.867,99.827,7,95
98.777,2.196,100,13,95
98.752,2.438,99.845,14,95
95.656,0,94.949,1,105
97.691,0.009,98.662,2,105
98.373,0.473,100,6,105
98.381,0.624,99.761,7,105
98.438,1.655,100,13,105
98.43,1.795,99.783,14,105
95.163,0,94.634,1,115
97.215,0.012,98.466,2,115
97.881,0.417,100,6,115
97.84,0.482,99.626,7,115
97.879,1.398,100,13,115
97.862,1.475,99.658,14,115
94.582,0.001,94.245,1,125
96.579,0.01,98.201,2,125
97.325,0.307,100,6,125
97.271,0.43,99.572,7,125
97.334,1.108,100,13,125
97.323,1.223,99.604,14,125
94.811,0,95.077,1,135
96.24,0.008,98.443,2,135
96.735,0.227,100,6,135
96.735,0.366,99.483,7,135
96.798,0.91,100,13,135
96.806,0.941,99.509,14,135
93.259,0,93.217,1,145
95.4,0.002,97.656,2,145
96.269,0.206,100,6,145
96.237,0.292,99.273,7,145
96.293,0.693,100,13,145
96.413,0.776,99.32,14,145
93.644,0,94.445,1,155
95.104,0.009,98.041,2,155
95.48,0.158,100,6,155
95.47,0.197,99.192,7,155
95.478,0.585,100,13,155
95.475,0.608,99.229,14,155
92.767,0,93.531,1,165
94.135,0.002,97.547,2,165
94.784,0.138,100,6,165
94.843,0.174,98.972,7,165
94.807,0.488,100,13,165
94.886,0.52,99.022,14,165
91.978,0,92.945,1,175
93.466,0.001,97.17,2,175
94.047,0.106,100,6,175
94.105,0.153,98.761,7,175
94.236,0.405,100,13,175
94.153,0.452,98.811,14,175
91.624,0,93.068,1,185
92.767,0.001,97.003,2,185
93.448,0.078,100,6,185
93.418,0.128,98.512,7,185
93.553,0.359,100,13,185
93.498,0.385,98.575,14,185
91.788,0,93.944,1,195
92.095,0,97.235,2,195
92.24,0.091,100,6,195
92.351,0.111,98.288,7,195
92.313,0.29,100,13,195
92.367,0.299,98.334,14,195
90.749,0,93.113,1,205
91.038,0.001,96.738,2,205
91.367,0.062,100,6,205
91.462,0.094,98.041,7,205
91.445,0.263,100,13,205
91.465,0.269,98.116,14,205
90.18,0,93.034,1,215
90.452,0.002,96.495,2,215
90.522,0.044,100,6,215
90.533,0.079,97.775,7,215
90.632,0.234,100,13,215
90.631,0.222,97.843,14,215
