Estimates,RSE,Parameters,Model
0.282,42.2,IIV_CLcrrt,16
0.284,42.3,IIV_CLcrrt,17
0.28,42.9,IIV_CLcrrt,18
0.28,42.1,IIV_CLcrrt,19
0.283,42.4,IIV_CLcrrt,20
0.215,20.3,IIV_CLr,11
0.213,20.7,IIV_CLr,12
0.215,20.3,IIV_CLr,13
0.214,20.7,IIV_CLr,14
0.217,20,IIV_CLr,15
0.214,20.5,IIV_CLr,16
0.212,20.4,IIV_CLr,17
0.208,20.5,IIV_CLr,18
0.217,20.2,IIV_CLr,19
0.206,20.5,IIV_CLr,20
0.311,20.7,IIV_V1,11
0.311,20.7,IIV_V1,12
0.318,20.4,IIV_V1,13
0.31,21.1,IIV_V1,14
0.315,20.6,IIV_V1,15
0.313,21.3,IIV_V1,16
0.315,20.6,IIV_V1,17
0.314,20.3,IIV_V1,18
0.315,21,IIV_V1,19
0.313,20.7,IIV_V1,20
0.0277,13.5,PropErr,11
0.0278,13.5,PropErr,12
0.0275,13.5,PropErr,13
0.028,13.4,PropErr,14
0.0278,13.5,PropErr,15
0.0278,13.5,PropErr,16
0.0275,13.6,PropErr,17
0.0274,13.4,PropErr,18
0.0277,13.6,PropErr,19
0.0277,13.5,PropErr,20
1.56,10.1,CLcrrt,21
1.55,10.3,CLcrrt,22
1.56,10.1,CLcrrt,23
1.56,10.1,CLcrrt,24
1.56,10,CLcrrt,25
1.56,10,CLcrrt,26
1.56,10.1,CLcrrt,27
1.55,10.1,CLcrrt,28
1.56,10.1,CLcrrt,29
1.56,10.1,CLcrrt,30
0.602,5,CLr,21
0.613,5.3,CLr,22
0.618,5.4,CLr,23
0.6,5.1,CLr,24
0.621,5.2,CLr,25
0.625,5.1,CLr,26
0.618,5.2,CLr,27
0.618,5.2,CLr,28
0.621,5.3,CLr,29
0.622,5.1,CLr,30
39.8,7.9,V1,21
39.5,8.8,V1,22
39.1,8,V1,23
39.6,7.8,V1,24
39.1,8.7,V1,25
39,8,V1,26
39.2,8.1,V1,27
39.4,8.6,V1,28
39.4,8.1,V1,29
39.5,7.9,V1,30
11.9,34.3,Q,21
11.9,45,Q,22
12.1,32.7,Q,23
12,31.5,Q,24
12.2,39,Q,25
12.2,33.8,Q,26
12.2,33,Q,27
12.1,38.6,Q,28
11.9,33.2,Q,29
12.1,36.7,Q,30
8.5,33.9,V2,21
8.46,37.8,V2,22
8.51,33.4,V2,23
8.57,33,V2,24
8.52,35.9,V2,25
8.36,34.1,V2,26
8.47,34.1,V2,27
8.53,36.1,V2,28
8.32,34.1,V2,29
8.31,35.1,V2,30
0.646,20.1,CKDEPI,21
0.578,26.5,CKDEPI,22
0.479,46.6,CKDEPI,23
0.658,21.7,CKDEPI,24
0.503,41,CKDEPI,25
0.414,37.2,CKDEPI,26
0.452,39.6,CKDEPI,27
0.53,29.4,CKDEPI,28
0.481,44.3,CKDEPI,29
0.503,30.2,CKDEPI,30
0.901,22.4,BW,21
0.887,24.2,BW,22
0.91,22.4,BW,23
0.927,22.7,BW,24
0.906,24.5,BW,25
0.924,21.6,BW,26
0.908,22.4,BW,27
0.924,23.2,BW,28
0.885,23.1,BW,29
0.925,21.6,BW,30
0.29,41.7,IIV_CLcrrt,21
0.286,42,IIV_CLcrrt,22
0.285,41.8,IIV_CLcrrt,23
0.283,42.8,IIV_CLcrrt,24
0.285,41.8,IIV_CLcrrt,25
0.283,41.7,IIV_CLcrrt,26
0.283,41.7,IIV_CLcrrt,27
0.288,41.7,IIV_CLcrrt,28
0.285,41.4,IIV_CLcrrt,29
0.279,42.7,IIV_CLcrrt,30
0.206,21.1,IIV_CLr,21
0.222,19.6,IIV_CLr,22
0.222,19.6,IIV_CLr,23
0.206,21.1,IIV_CLr,24
0.219,20,IIV_CLr,25
