PTA_Cmin_75,PTA_Cmin_80,PTA_fAUC_200,PTA_fAUC_400,DAY,BW
99.729,2.906,99.994,99.511,1,30
96.907,1.721,99.769,95.459,2,30
91.01,1.732,99.998,99.98,6,30
90.817,1.751,98.358,78.61,7,30
90.706,2.121,100,99.996,13,30
90.713,2.139,98.33,77.723,14,30
99.814,1.726,99.996,99.064,1,35
97.454,1.103,99.803,95.157,2,35
91.866,1.088,100,99.974,6,35
91.62,1.08,98.315,78.153,7,35
91.555,1.353,100,99.997,13,35
91.505,1.4,98.271,77.115,14,35
99.848,1.61,99.991,98.503,1,40
97.973,1.113,99.839,95.189,2,40
93.338,1.357,100,99.987,6,40
93.14,1.529,98.431,79.712,7,40
92.944,2.083,100,100,13,40
92.878,2.046,98.384,78.658,14,40
99.819,1.216,99.968,97.697,1,45
98.065,0.92,99.812,94.41,2,45
93.516,1.295,100,99.978,6,45
93.282,1.436,98.257,78.888,7,45
93.143,1.976,100,100,13,45
93.129,2.035,98.202,77.746,14,45
99.848,0.977,99.958,96.639,1,50
98.419,0.713,99.849,93.899,2,50
94.276,1.214,100,99.984,6,50
94.092,1.333,98.359,79.443,7,50
93.807,1.98,100,100,13,50
93.865,2.071,98.292,78.36,14,50
99.826,0.681,99.922,95.377,1,55
98.538,0.609,99.832,92.754,2,55
94.448,0.964,100,99.981,6,55
94.226,1.127,98.306,78.098,7,55
94.021,1.791,100,99.998,13,55
94.078,1.814,98.233,76.817,14,55
99.842,0.564,99.863,93.984,1,60
98.796,0.49,99.839,92.153,2,60
95.329,0.87,100,99.993,6,60
95.15,1.019,98.509,79.147,7,60
94.934,1.604,100,100,13,60
94.918,1.784,98.396,78.061,14,60
99.779,0.5,99.785,92.442,1,65
98.83,0.485,99.769,90.976,2,65
95.461,1.024,100,99.98,6,65
95.277,1.254,98.402,78.943,7,65
95.137,2.173,100,99.999,13,65
95.062,2.305,98.29,77.918,14,65
99.752,0.355,99.727,90.668,1,70
98.939,0.358,99.77,89.83,2,70
95.83,0.86,100,99.987,6,70
95.634,1.041,98.47,79.051,7,70
95.433,1.876,100,99.999,13,70
95.413,2.071,98.352,78.096,14,70
99.676,0.31,99.572,88.765,1,75
98.931,0.29,99.708,88.461,2,75
96.027,0.695,100,99.991,6,75
95.906,0.828,98.432,78.303,7,75
95.663,1.609,100,100,13,75
95.635,1.676,98.313,77.517,14,75
99.62,0.213,99.432,86.837,1,80
98.993,0.177,99.629,87.291,2,80
96.368,0.494,100,99.985,6,80
96.268,0.625,98.495,78.785,7,80
96.02,1.259,100,100,13,80
96.077,1.333,98.364,78.185,14,80
99.52,0.166,99.256,84.614,1,85
99.064,0.186,99.583,85.56,2,85
96.644,0.473,100,99.984,6,85
96.491,0.544,98.502,78.319,7,85
96.271,1.244,100,99.998,13,85
96.23,1.354,98.382,77.989,14,85
99.438,0.159,99.085,82.259,1,90
98.915,0.189,99.484,83.546,2,90
96.598,0.592,100,99.986,6,90
96.344,0.752,98.43,77.414,7,90
96.152,1.565,100,99.999,13,90
96.184,1.665,98.282,77.326,14,90
99.301,0.146,98.834,80.488,1,95
