PTA_Cmin_75,PTA_Cmin_80,PTA_fAUC_200,PTA_fAUC_400,DAY,BW
95.008,0,99.1,73.294,1,30
92.207,0.004,98.793,75.375,2,30
90.753,0.603,99.998,99.978,6,30
90.69,0.852,98.327,77.377,7,30
90.703,1.769,100,99.996,13,30
90.71,1.847,98.329,77.673,14,30
94.646,0,98.368,65.911,1,35
92.58,0.005,98.614,71.304,2,35
91.555,0.321,100,99.97,6,35
91.444,0.463,98.257,76.463,7,35
91.546,1.114,100,99.997,13,35
91.495,1.192,98.27,77.046,14,35
94.345,0,97.457,59.932,1,40
93.59,0.002,98.457,68.993,2,40
92.975,0.381,100,99.985,6,40
92.968,0.61,98.371,77.757,7,40
92.936,1.677,100,100,13,40
92.875,1.668,98.382,78.551,14,40
93.296,0,96.294,53.042,1,45
93.327,0.004,97.981,64.576,2,45
93.151,0.399,100,99.972,6,45
93.085,0.551,98.177,76.429,7,45
93.137,1.556,100,100,13,45
93.12,1.693,98.197,77.587,14,45
92.502,0,94.723,47.297,1,50
93.595,0,97.55,61.045,2,50
93.821,0.331,100,99.982,6,50
93.828,0.523,98.246,76.533,7,50
93.798,1.529,100,100,13,50
93.854,1.67,98.285,78.131,14,50
91.002,0,93.016,41.313,1,55
93.144,0.001,96.939,56.297,2,55
93.941,0.261,100,99.971,6,55
93.944,0.373,98.176,74.497,7,55
94.005,1.31,100,99.998,13,55
94.07,1.467,98.227,76.545,14,55
90.186,0,91.106,37.026,1,60
93.281,0.001,96.406,53.594,2,60
94.773,0.211,100,99.986,6,60
94.857,0.332,98.324,75.16,7,60
94.911,1.139,100,100,13,60
94.905,1.346,98.39,77.714,14,60
88.609,0,88.929,32.732,1,65
92.885,0,95.604,50.081,2,65
94.862,0.249,100,99.972,6,65
94.916,0.404,98.183,74.492,7,65
95.108,1.582,100,99.999,13,65
95.045,1.741,98.275,77.498,14,65
87.126,0,86.788,29.314,1,70
92.578,0.004,94.816,46.967,2,70
95.141,0.202,100,99.978,6,70
95.254,0.309,98.226,73.946,7,70
95.405,1.312,100,99.999,13,70
95.4,1.512,98.34,77.605,14,70
85.395,0,84.295,25.618,1,75
91.956,0.001,93.766,43.279,2,75
95.325,0.16,100,99.982,6,75
95.492,0.288,98.12,72.573,7,75
95.628,1.108,100,100,13,75
95.613,1.225,98.3,76.913,14,75
83.836,0,82.038,22.75,1,80
91.479,0,92.82,40.539,2,80
95.63,0.104,100,99.977,6,80
95.824,0.185,98.146,72.503,7,80
95.995,0.854,100,100,13,80
96.047,0.938,98.328,77.481,14,80
82.1,0,79.162,20.142,1,85
90.871,0,91.59,37.687,2,85
95.842,0.069,100,99.971,6,85
96.003,0.149,98.117,71.439,7,85
96.231,0.847,100,99.998,13,85
96.204,0.927,98.362,77.194,14,85
79.783,0,76.433,17.553,1,90
89.75,0,90.136,34.498,2,90
95.661,0.117,100,99.968,6,90
95.828,0.199,97.946,70.094,7,90
96.105,1.056,100,99.999,13,90
96.137,1.207,98.262,76.435,14,90
78.83,0,74.309,16.165,1,95
89.919,0,89.395,33.143,2,95
96.361,0.096,100,99.967,6,95
96.63,0.174,98.245,71.309,7,95
96.827,0.983,100,100,13,95
96.93,1.134,98.57,78.255,14,95
75.058,0,70.738,13.616,1,100
86.98,0,86.755,29.034,2,100
94.96,0.071,99.999,99.943,6,100
95.335,0.102,97.283,65.873,7,100
95.675,0.689,100,99.999,13,100
95.731,0.809,97.786,73.534,14,100
74.27,0,68.594,12.394,1,105
87.531,0,86.252,28.053,2,105
96.165,0.064,100,99.957,6,105
96.4,0.124,97.896,68.087,7,105
96.847,0.724,100,100,13,105
96.886,0.831,98.389,76.851,14,105
71.996,0,65.931,10.992,1,110
86.134,0,84.486,25.459,2,110
95.611,0.052,100,99.939,6,110
95.943,0.09,97.506,65.643,7,110
96.486,0.637,100,99.996,13,110
96.527,0.758,98.109,75.1,14,110
69.381,0,62.659,9.534,1,115
84.557,0,82.174,23.126,2,115
95.302,0.036,100,99.918,6,115
95.663,0.088,97.084,62.986,7,115
96.211,0.622,100,99.999,13,115
96.263,0.702,97.814,72.991,14,115
67.611,0,60.444,8.564,1,120
83.725,0,80.887,21.47,2,120
95.564,0.026,100,99.927,6,120
95.923,0.072,97.111,62.399,7,120
96.533,0.512,100,100,13,120
96.584,0.592,97.951,73.44,14,120
66.842,0,58.48,7.991,1,125
83.684,0,80.232,21.169,2,125
96.295,0.035,100,99.937,6,125
96.607,0.058,97.513,64.376,7,125
97.317,0.532,100,99.999,13,125
97.385,0.604,98.424,76.254,14,125
64.62,0,56.157,7.083,1,130
82.243,0,78.266,19.513,2,130
95.553,0.033,100,99.902,6,130
96.053,0.069,96.972,62.312,7,130
96.847,0.579,100,99.999,13,130
96.858,0.694,97.989,74.656,14,130
62.495,0,53.389,6.21,1,135
80.741,0,76.327,17.57,2,135
95.591,0.029,99.998,99.901,6,135
96.056,0.047,96.859,60.096,7,135
