PTA_Cmin_75,PTA_Cmin_80,PTA_fAUC_200,PTA_fAUC_400,DAY,BW
98.854,0.074,99.937,95.232,1,30
95.042,0.171,99.473,88.293,2,30
90.874,0.988,99.998,99.978,6,30
90.747,1.181,98.341,77.905,7,30
90.703,1.91,100,99.996,13,30
90.712,1.958,98.329,77.697,14,30
98.966,0.027,99.874,92.457,1,35
95.631,0.083,99.502,86.685,2,35
91.695,0.553,100,99.971,6,35
91.513,0.694,98.281,77.224,7,35
91.548,1.206,100,99.997,13,35
91.501,1.287,98.269,77.082,14,35
99.044,0.024,99.754,89.667,1,40
96.36,0.087,99.508,85.882,2,40
93.12,0.662,100,99.986,6,40
93.034,0.925,98.397,78.632,7,40
92.94,1.844,100,100,13,40
92.876,1.822,98.383,78.597,14,40
98.899,0.021,99.626,86.185,1,45
96.43,0.077,99.391,83.383,2,45
93.321,0.666,100,99.974,6,45
93.163,0.852,98.218,77.553,7,45
93.14,1.704,100,100,13,45
93.124,1.828,98.198,77.653,14,45
98.821,0.011,99.325,82.549,1,50
96.788,0.057,99.37,81.461,2,50
94.026,0.603,100,99.982,6,50
93.946,0.789,98.295,77.856,7,50
93.804,1.714,100,100,13,50
93.859,1.819,98.287,78.216,14,50
98.616,0.004,99.054,78.272,1,55
96.801,0.027,99.208,78.252,2,55
94.175,0.479,100,99.974,6,55
94.063,0.617,98.241,76.074,7,55
94.012,1.488,100,99.998,13,55
94.073,1.588,98.23,76.645,14,55
98.419,0.008,98.58,74.765,1,60
97.155,0.032,99.093,76.672,2,60
95.02,0.398,100,99.989,6,60
94.992,0.555,98.407,76.969,7,60
94.919,1.331,100,100,13,60
94.912,1.496,98.393,77.847,14,60
98.038,0.004,98.115,70.685,1,65
97.028,0.02,98.885,74.033,2,65
95.136,0.463,100,99.977,6,65
95.086,0.671,98.278,76.49,7,65
95.117,1.801,100,99.999,13,65
95.053,1.968,98.277,77.683,14,65
97.735,0.001,97.517,66.935,1,70
97.134,0.016,98.657,71.452,2,70
95.472,0.396,100,99.985,6,70
95.425,0.531,98.353,76.274,7,70
95.413,1.546,100,99.999,13,70
95.407,1.75,98.344,77.801,14,70
97.301,0.004,96.827,62.786,1,75
96.913,0.014,98.299,68.413,2,75
95.654,0.289,100,99.985,6,75
95.67,0.47,98.275,75.155,7,75
95.642,1.302,100,100,13,75
95.619,1.395,98.304,77.178,14,75
96.801,0,96.088,59.352,1,80
96.889,0.003,98.002,66.101,2,80
95.995,0.204,100,99.98,6,80
96.04,0.312,98.31,75.33,7,80
96.005,1.004,100,100,13,80
96.059,1.083,98.34,77.788,14,80
96.306,0,95.142,55.488,1,85
96.727,0.008,97.658,63.256,2,85
96.257,0.169,100,99.979,6,85
96.234,0.268,98.307,74.574,7,85
96.246,1.002,100,99.998,13,85
96.216,1.091,98.369,77.552,14,85
95.573,0.003,94.101,51.849,1,90
96.324,0.016,97.16,60.272,2,90
96.117,0.251,100,99.98,6,90
96.074,0.355,98.179,73.464,7,90
96.12,1.231,100,99.999,13,90
96.154,1.375,98.266,76.799,14,90
95.098,0.001,93.203,48.874,1,95
96.501,0.01,96.817,58.899,2,95
96.793,0.213,100,99.978,6,95
96.892,0.312,98.468,74.748,7,95
96.853,1.18,100,100,13,95
96.95,1.322,98.588,78.699,14,95
93.724,0,91.698,45.253,1,100
95.13,0.003,95.673,53.886,2,100
95.553,0.14,99.999,99.964,6,100
95.684,0.211,97.644,69.783,7,100
95.698,0.846,100,99.999,13,100
95.751,0.941,97.806,73.992,14,100
93.551,0.001,90.729,42.806,1,105
95.549,0.006,95.598,53.168,2,105
96.706,0.13,100,99.973,6,105
96.738,0.239,98.215,72.255,7,105
96.874,0.86,100,100,13,105
96.909,0.991,98.409,77.416,14,105
92.616,0,89.491,39.856,1,110
94.931,0.004,94.88,50.043,2,110
