PTA_Cmin_75,PTA_Cmin_80,PTA_fAUC_200,PTA_fAUC_400,DAY,BW
95.008,0,99.1,73.294,1,30
83.314,0,93.668,50.321,2,30
67.779,0.01,99.979,98.642,6,30
67.269,0.012,78.375,30.684,7,30
66.428,0.059,99.996,99.826,13,30
66.368,0.067,77.706,29.844,14,30
94.646,0,98.368,65.911,1,35
83.625,0,93.08,45.091,2,35
68.632,0.002,99.974,98.664,6,35
67.872,0.006,77.824,27.757,7,35
67.042,0.017,99.997,99.827,13,35
66.984,0.019,77.095,27.147,14,35
94.345,0,97.457,59.932,1,40
85.279,0,93.036,43.715,2,40
71.986,0.003,99.986,98.793,6,40
71.298,0.007,79.351,30.726,7,40
70.463,0.035,100,99.852,13,40
70.6,0.024,78.628,30.674,14,40
93.296,0,96.294,53.042,1,45
84.697,0,91.827,39.481,2,45
72.312,0.006,99.977,98.664,6,45
71.618,0.006,78.449,29.593,7,45
70.809,0.028,100,99.822,13,45
70.924,0.043,77.707,29.992,14,45
92.502,0,94.723,47.297,1,50
85.014,0,90.943,36.484,2,50
73.864,0.004,99.983,98.772,6,50
73.377,0.009,78.923,29.232,7,50
72.595,0.045,100,99.84,13,50
72.541,0.038,78.3,30.246,14,50
91.002,0,93.016,41.313,1,55
83.828,0,89.261,31.517,2,55
72.869,0.005,99.979,98.729,6,55
72.403,0.005,77.437,26.822,7,55
71.657,0.016,99.998,99.822,13,55
71.629,0.023,76.759,28.333,14,55
90.186,0,91.106,37.026,1,60
84.17,0,88.465,29.783,2,60
74.855,0,99.993,98.896,6,60
74.388,0.005,78.437,27.342,7,60
73.814,0.02,100,99.86,13,60
73.953,0.021,77.982,29.352,14,60
88.609,0,88.929,32.732,1,65
83.445,0,86.907,27.467,2,65
75.238,0.002,99.979,98.806,6,65
74.937,0.003,78.178,27.33,7,65
74.348,0.03,99.999,99.811,13,65
74.492,0.041,77.836,30.102,14,65
87.126,0,86.788,29.314,1,70
82.74,0,85.426,25.034,2,70
75.921,0.002,99.986,98.875,6,70
75.626,0.003,78.18,26.459,7,70
75.235,0.023,99.999,99.845,13,70
75.305,0.026,77.995,29.829,14,70
85.395,0,84.295,25.618,1,75
81.646,0,83.414,22.04,2,75
75.457,0,99.99,98.792,6,75
75.271,0.001,77.307,24.184,7,75
75.192,0.008,100,99.874,13,75
74.991,0.014,77.405,27.908,14,75
83.836,0,82.038,22.75,1,80
80.983,0,81.894,19.975,2,80
76.399,0.001,99.983,98.85,6,80
76.247,0,77.716,23.141,7,80
76.128,0.005,100,99.827,13,80
76.221,0.006,78.046,27.378,14,80
82.1,0,79.162,20.142,1,85
79.645,0,79.838,18.167,2,85
76.379,0.001,99.983,98.867,6,85
76.237,0,77.169,22.326,7,85
76.585,0.011,99.998,99.854,13,85
76.7,0.006,77.834,27.146,14,85
79.783,0,76.433,17.553,1,90
77.933,0,77.505,16.381,2,90
75.911,0.002,99.985,98.739,6,90
75.848,0.003,76.156,21.909,7,90
76.353,0.012,99.999,99.82,13,90
76.505,0.015,77.155,27.149,14,90
78.83,0,74.309,16.165,1,95
78.165,0,76.653,15.762,2,95
77.93,0.001,99.983,98.883,6,95
77.983,0.001,77.63,22.71,7,95
78.771,0.012,100,99.854,13,95
78.816,0.011,79.113,29.006,14,95
75.058,0,70.738,13.616,1,100
73.869,0,72.201,12.746,2,100
73.308,0.001,99.975,98.27,6,100
73.557,0.001,72.859,18.444,7,100
74.493,0.005,99.999,99.755,13,100
74.702,0.006,74.439,24.05,14,100
74.27,0,68.594,12.394,1,105
74.895,0,71.943,12.46,2,105
76.775,0.001,99.981,98.655,6,105
77.001,0.001,75.621,19.816,7,105
78.097,0.006,100,99.852,13,105
78.149,0.008,77.898,26.628,14,105
71.996,0,65.931,10.992,1,110
72.733,0,69.202,10.944,2,110
74.894,0,99.977,98.403,6,110
75.184,0,73.673,17.849,7,110
76.77,0.008,99.996,99.796,13,110
76.871,0.01,76.145,24.482,14,110
69.381,0,62.659,9.534,1,115
70.213,0,66.212,9.526,2,115
73.109,0,99.97,98.085,6,115
73.621,0.001,71.223,16.695,7,115
75.593,0.005,99.999,99.777,13,115
75.665,0.006,74.239,23.503,14,115
67.611,0,60.444,8.564,1,120
69.227,0,64.477,8.713,2,120
73.322,0,99.976,98.079,6,120
74.073,0,71.227,15.575,7,120
76.171,0.002,100,99.802,13,120
76.395,0.005,74.816,22.551,14,120
66.842,0,58.48,7.991,1,125
69.566,0,63.799,8.742,2,125
75.705,0,99.986,98.304,6,125
76.641,0,73.545,17.002,7,125
79.307,0.002,99.999,99.839,13,125
79.416,0.004,77.739,25.15,14,125
64.62,0,56.157,7.083,1,130
67.518,0,61.43,7.859,2,130
74.353,0,99.97,97.881,6,130
75.049,0,71.685,16.381,7,130
77.804,0.003,99.999,99.779,13,130
78.065,0.007,76.145,24.554,14,130
62.495,0,53.389,6.21,1,135
65.536,0,58.927,6.877,2,135
73.265,0,99.979,97.85,6,135
74.349,0,70.322,14.496,7,135
77.593,0.002,99.998,99.807,13,135
77.762,0.006,75.283,22.454,14,135
60.63,0,51.31,5.744,1,140
64.536,0,57.295,6.581,2,140
73.546,0,99.974,97.648,6,140
74.614,0,70.225,14.701,7,140
78.22,0.002,100,99.801,13,140
78.664,0.005,75.86,23.339,14,140
58.932,0,49.256,5.131,1,145
63.169,0,55.691,5.91,2,145
