PTA_Cmin_75,PTA_Cmin_80,PTA_fAUC_200,PTA_fAUC_400,DAY,BW
99.348,0.396,99.977,97.883,1,30
95.828,0.446,99.622,91.679,2,30
90.922,1.199,99.998,99.979,6,30
90.77,1.381,98.344,78.162,7,30
90.705,1.977,100,99.996,13,30
90.713,2.014,98.328,77.712,14,30
99.464,0.169,99.96,96.38,1,35
96.447,0.225,99.661,90.702,2,35
91.753,0.696,100,99.972,6,35
91.547,0.816,98.294,77.553,7,35
91.552,1.254,100,99.997,13,35
91.504,1.324,98.27,77.091,14,35
99.51,0.172,99.915,94.786,1,40
97.095,0.263,99.676,90.302,2,40
93.196,0.871,100,99.986,6,40
93.07,1.094,98.409,79.036,7,40
92.941,1.926,100,100,13,40
92.876,1.893,98.383,78.612,14,40
99.463,0.122,99.856,92.659,1,45
97.172,0.201,99.614,88.589,2,45
93.379,0.864,100,99.977,6,45
93.196,1.042,98.231,78.022,7,45
93.14,1.794,100,100,13,45
93.125,1.899,98.199,77.681,14,45
99.471,0.085,99.756,90.097,1,50
97.541,0.152,99.638,87.318,2,50
94.114,0.766,100,99.982,6,50
94,0.949,98.322,78.429,7,50
93.805,1.789,100,100,13,50
93.86,1.907,98.288,78.254,14,50
99.396,0.057,99.617,87.225,1,55
97.595,0.122,99.565,84.975,2,55
94.266,0.61,100,99.976,6,55
94.122,0.772,98.265,76.784,7,55
94.015,1.587,100,99.998,13,55
94.074,1.662,98.232,76.709,14,55
99.307,0.051,99.361,84.612,1,60
97.956,0.106,99.518,83.754,2,60
95.136,0.514,100,99.991,6,60
95.051,0.685,98.446,77.729,7,60
94.923,1.418,100,100,13,60
94.916,1.59,98.392,77.919,14,60
99.11,0.047,99.161,81.508,1,65
97.9,0.086,99.352,81.658,2,65
95.242,0.618,100,99.978,6,65
95.154,0.83,98.333,77.377,7,65
95.126,1.925,100,99.999,13,65
95.056,2.086,98.285,77.765,14,65
98.969,0.033,98.863,78.41,1,70
98.058,0.059,99.294,79.655,2,70
95.597,0.531,100,99.986,6,70
95.499,0.689,98.383,77.29,7,70
95.421,1.644,100,99.999,13,70
95.409,1.853,98.346,77.896,14,70
98.75,0.03,98.44,74.975,1,75
97.918,0.05,99.1,77.166,2,75
95.773,0.417,100,99.988,6,75
95.755,0.567,98.346,76.312,7,75
95.65,1.4,100,100,13,75
95.623,1.484,98.307,77.293,14,75
98.443,0.012,98.018,72.052,1,80
97.955,0.025,98.888,75.361,2,80
96.159,0.292,100,99.982,6,80
96.127,0.404,98.373,76.61,7,80
96.012,1.07,100,100,13,80
96.064,1.163,98.348,77.907,14,80
98.23,0.008,97.552,68.466,1,85
97.91,0.023,98.711,72.771,2,85
96.391,0.247,100,99.982,6,85
96.332,0.357,98.384,75.897,7,85
96.256,1.069,100,99.998,13,85
96.221,1.196,98.372,77.697,14,85
97.831,0.016,96.878,65.209,1,90
97.624,0.039,98.45,69.994,2,90
96.302,0.34,100,99.982,6,90
96.184,0.475,98.281,74.876,7,90
