PTA_Cmin_75,PTA_Cmin_80,PTA_fAUC_200,PTA_fAUC_400,DAY,BW
49.811,0,63.752,2.785,1,30
55.004,0,66.268,7.14,2,30
60.22,0.001,99.954,97.286,6,30
60.593,0,70.766,20.367,7,30
60.916,0.016,99.995,99.665,13,30
61.017,0.02,71.295,23.088,14,30
59.348,0,71.368,5.821,1,35
63.981,0,75.236,11.46,2,35
68.848,0,99.979,98.672,6,35
69.024,0.004,79.417,26.861,7,35
69.399,0.017,99.997,99.873,13,35
69.388,0.018,79.871,29.903,14,35
68.686,0,77.235,10.62,1,40
73.889,0,82.889,19.408,2,40
77.963,0.004,99.997,99.383,6,40
78.228,0.009,86.972,39.361,7,40
78.584,0.074,100,99.96,13,40
78.606,0.08,87.306,42.822,14,40
74.367,0,80.574,15.063,1,45
79.108,0,86.91,25.556,2,45
82.796,0.015,99.999,99.658,6,45
83.053,0.028,90.634,47.214,7,45
83.317,0.181,100,99.976,13,45
83.331,0.235,90.916,50.746,14,45
79.127,0,83.341,19.289,1,50
84.09,0,90.149,32.082,2,50
87.351,0.031,100,99.844,6,50
87.549,0.066,93.864,55.45,7,50
87.791,0.351,100,99.99,13,50
87.813,0.399,94.078,59.108,14,50
82.103,0,85.058,23.08,1,55
87.048,0,92.005,36.371,2,55
89.809,0.048,99.999,99.904,6,55
89.955,0.091,95.472,60.134,7,55
90.106,0.441,100,99.995,13,55
90.185,0.558,95.648,63.653,14,55
85.509,0,86.835,27.248,1,60
90.186,0.001,93.89,42.804,2,60
92.921,0.104,100,99.966,6,60
92.997,0.157,97.136,67.747,7,60
93.291,0.648,100,100,13,60
93.2,0.759,97.278,71.203,14,60
87.559,0,87.822,30.45,1,65
92.227,0,95.023,47.504,2,65
94.43,0.206,100,99.965,6,65
94.508,0.333,97.921,72.773,7,65
94.748,1.389,100,99.998,13,65
94.693,1.558,98.034,76.035,14,65
89.256,0,88.925,33.75,1,70
93.861,0.004,95.879,51.932,2,70
95.84,0.28,100,99.985,6,70
95.917,0.436,98.623,77.244,7,70
96.019,1.703,100,100,13,70
96.006,1.965,98.704,80.38,14,70
90.585,0,89.629,36.137,1,75
94.959,0.001,96.472,55.105,2,75
96.769,0.36,100,99.991,6,75
96.872,0.582,98.985,80.462,7,75
96.922,2.016,100,100,13,75
96.96,2.174,99.057,83.458,14,75
91.657,0,90.368,38.535,1,80
95.968,0,96.99,58.892,2,80
97.61,0.391,100,99.993,6,80
97.66,0.637,99.321,84.158,7,80
97.74,2.218,100,100,13,80
97.794,2.449,99.382,86.816,14,80
92.465,0,90.799,40.624,1,85
96.669,0.006,97.369,61.632,2,85
98.205,0.579,100,99.996,6,85
98.282,0.839,99.546,86.524,7,85
98.361,2.831,100,100,13,85
98.373,3.234,99.595,89.114,14,85
93.083,0.002,91.157,42.097,1,90
97.026,0.019,97.643,63.794,2,90
98.44,0.956,100,99.998,6,90
98.473,1.421,99.615,88.274,7,90
98.528,4.231,100,100,13,90
98.563,4.612,99.654,90.652,14,90
93.948,0.001,91.806,44.276,1,95
97.737,0.02,97.891,67.199,2,95
99.024,1.19,100,99.998,6,95
99.075,1.808,99.761,91.345,7,95
99.108,5.294,100,100,13,95
99.113,5.755,99.796,93.403,14,95
93.724,0,91.698,45.253,1,100
97.509,0.023,97.862,66.898,2,100
98.846,1.184,100,99.997,6,100
98.871,1.779,99.728,90.288,7,100
98.92,4.913,100,100,13,100
98.897,5.319,99.745,92.467,14,100
94.753,0.001,92.28,47.124,1,105
98.246,0.038,98.252,70.325,2,105
99.36,1.629,100,100,6,105
99.361,2.358,99.875,93.346,7,105
