PTA_Cmin_75,PTA_Cmin_80,PTA_fAUC_200,PTA_fAUC_400,DAY,BW
97.809,0.007,99.795,88.607,1,30
93.905,0.048,99.234,83.238,2,30
90.813,0.796,99.998,99.978,6,30
90.719,1.002,98.332,77.655,7,30
90.703,1.837,100,99.996,13,30
90.711,1.914,98.33,77.686,14,30
97.846,0.003,99.55,83.933,1,35
94.45,0.021,99.206,80.559,2,35
91.64,0.425,100,99.97,6,35
91.481,0.58,98.27,76.857,7,35
91.548,1.16,100,99.997,13,35
91.499,1.23,98.269,77.064,14,35
97.875,0.003,99.273,79.391,1,40
95.316,0.022,99.163,79,2,40
93.057,0.51,100,99.985,6,40
93.007,0.762,98.384,78.199,7,40
92.939,1.777,100,100,13,40
92.875,1.75,98.382,78.57,14,40
97.447,0,98.839,74.234,1,45
95.289,0.023,98.934,75.66,2,45
93.227,0.52,100,99.974,6,45
93.128,0.701,98.198,76.996,7,45
93.138,1.634,100,100,13,45
93.122,1.756,98.197,77.621,14,45
97.122,0.001,98.203,69.085,1,50
95.596,0.015,98.795,72.973,2,50
93.934,0.451,100,99.982,6,50
93.887,0.648,98.267,77.212,7,50
93.801,1.621,100,100,13,50
93.856,1.75,98.286,78.165,14,50
96.538,0,97.461,63.524,1,55
95.461,0.008,98.454,68.819,2,55
94.059,0.364,100,99.974,6,55
94.005,0.497,98.215,75.338,7,55
94.008,1.401,100,99.998,13,55
94.072,1.527,98.229,76.592,14,55
96.157,0,96.597,59.066,1,60
95.717,0.006,98.227,66.799,2,60
94.896,0.304,100,99.988,6,60
94.923,0.438,98.373,76.128,7,60
94.914,1.237,100,100,13,60
94.908,1.411,98.392,77.782,14,60
95.358,0,95.606,54.453,1,65
95.54,0.003,97.818,63.597,2,65
95.009,0.339,100,99.976,6,65
95.013,0.517,98.236,75.529,7,65
95.112,1.706,100,99.999,13,65
95.051,1.877,98.275,77.59,14,65
94.716,0,94.376,50.32,1,70
95.516,0.007,97.375,60.699,2,70
95.317,0.284,100,99.98,6,70
95.354,0.412,98.307,75.142,7,70
95.408,1.423,100,99.999,13,70
95.404,1.619,98.343,77.683,14,70
93.803,0,93.117,46.035,1,75
95.188,0.002,96.839,56.968,2,75
95.493,0.212,100,99.984,6,75
95.586,0.378,98.208,73.934,7,75
95.636,1.204,100,100,13,75
95.615,1.309,98.301,77.041,14,75
92.869,0,91.721,42.355,1,80
94.962,0,96.277,54.563,2,80
95.819,0.146,100,99.978,6,80
95.939,0.239,98.233,74.006,7,80
96,0.932,100,100,13,80
96.055,1.008,98.335,77.637,14,80
91.857,0,90.1,38.789,1,85
94.604,0.001,95.594,51.397,2,85
96.068,0.108,100,99.979,6,85
96.139,0.208,98.224,73.136,7,85
96.238,0.918,100,99.998,13,85
96.206,1.011,98.368,77.37,14,85
90.587,0,88.351,35.137,1,90
93.944,0.002,94.628,48.134,2,90
95.913,0.174,100,99.976,6,90
95.954,0.273,98.069,71.805,7,90
96.11,1.143,100,99.999,13,90
96.146,1.288,98.263,76.615,14,90
89.924,0,86.909,32.827,1,95
94.168,0.002,94.229,46.858,2,95
96.599,0.143,100,99.972,6,95
96.782,0.232,98.368,73.163,7,95
96.84,1.074,100,100,13,95
96.939,1.224,98.578,78.472,14,95
87.59,0,84.465,29.327,1,100
92.162,0.001,92.49,42.044,2,100
95.285,0.101,99.999,99.957,6,100
95.527,0.159,97.474,67.881,7,100
95.683,0.767,100,99.999,13,100
95.74,0.875,97.796,73.778,14,100
87.051,0,82.989,27.271,1,105
92.572,0.002,92.142,41.037,2,105
96.475,0.094,100,99.966,6,105
96.586,0.169,98.072,70.245,7,105
96.867,0.794,100,100,13,105
96.895,0.907,98.401,77.135,14,105
85.641,0,81.038,24.851,1,110
91.648,0,90.973,37.981,2,110
95.967,0.077,100,99.957,6,110
96.155,0.133,97.725,67.947,7,110
96.499,0.717,100,99.996,13,110
96.538,0.824,98.126,75.376,14,110
83.645,0,78.624,22.393,1,115
90.593,0.001,89.446,35.187,2,115
95.679,0.062,100,99.938,6,115
95.892,0.121,97.328,65.393,7,115
96.227,0.689,100,99.999,13,115
96.281,0.773,97.827,73.32,14,115
82.46,0,76.82,20.543,1,120
89.922,0,88.512,33.094,2,120
95.977,0.044,100,99.954,6,120
96.154,0.094,97.383,64.918,7,120
96.555,0.561,100,100,13,120
96.604,0.645,97.969,73.841,14,120
81.73,0,75.15,19.323,1,125
90.04,0,87.908,32.775,2,125
96.688,0.058,100,99.959,6,125
96.84,0.106,97.787,67.034,7,125
97.341,0.601,100,99.999,13,125
