,"",,9 runs with miminization terminated were skipped when calculating the bootstrap results,
,"",,3 runs with estimates near a boundary were skipped when calculating the bootstrap results,
diagnostic.means
"","covariance.step.run","minimization.successful","covariance.step.successful","covariance.step.warnings","estimate.near.boundary","rounding.errors","zero.gradients","final.zero.gradients"," hessian.reset","s.matrix.singular","significant.digits","condition.number","   est.methods","model.run.time","subprob.est.time","subprob.cov.time",
"",             0,         0.955,             0,             0,          0.02,         0.045,         0.165,          0.02,         0.475,             0,      2.369192,              NA,             0,             0,      387.4144,             0,
means
"","           ofv","     1_CL_CRRT","         2_CLr","          3_V1","           4_Q","          5_V2","6_CKDEPI_on_CLr","    7_BW_on_V1","  1_IIV_CLcrrt","     2_IIV_CLr","    OMEGA(3,2)","      3_IIV_V1","     1_PropErr","      2_AddErr","   se1_CL_CRRT","       se2_CLr","        se3_V1","         se4_Q","        se5_V2","se6_CKDEPI_on_CLr","  se7_BW_on_V1","se1_IIV_CLcrrt","   se2_IIV_CLr","  seOMEGA(3,2)","    se3_IIV_V1","   se1_PropErr","    se2_AddErr","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_iwres(%)","           EI1","           EI2","           EI3","           EI4","           EI5","           EI6","           EI7","           EI8","           EI9","          EI10","          EI11","          EI12","          EI13",
"",      5344.802,      1.591791,     0.6148718,      38.79828,       13.5965,      8.813362,     0.4020343,     0.9043852,     0.2602329,     0.2320341,    0.07429109,     0.3050192,    0.02750044,             0,
bias
"","           ofv","     1_CL_CRRT","         2_CLr","          3_V1","           4_Q","          5_V2","6_CKDEPI_on_CLr","    7_BW_on_V1","  1_IIV_CLcrrt","     2_IIV_CLr","    OMEGA(3,2)","      3_IIV_V1","     1_PropErr","      2_AddErr","   se1_CL_CRRT","       se2_CLr","        se3_V1","         se4_Q","        se5_V2","se6_CKDEPI_on_CLr","  se7_BW_on_V1","se1_IIV_CLcrrt","   se2_IIV_CLr","  seOMEGA(3,2)","    se3_IIV_V1","   se1_PropErr","    se2_AddErr","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_iwres(%)","           EI1","           EI2","           EI3","           EI4","           EI5","           EI6","           EI7","           EI8","           EI9","          EI10","          EI11","          EI12","          EI13",
"",-21.6061775204571,    0.03291074,-0.00620023936170222,-0.12301595744681,      1.081696,     0.3489725,    0.01887634,-0.000779813829787313,-0.0221531430851064,   0.005944149,   0.004817088,-0.00324983510638305,-0.00047765744680851,             0,
standard.error.confidence.intervals
"","           ofv","     1_CL_CRRT","         2_CLr","          3_V1","           4_Q","          5_V2","6_CKDEPI_on_CLr","    7_BW_on_V1","  1_IIV_CLcrrt","     2_IIV_CLr","    OMEGA(3,2)","      3_IIV_V1","     1_PropErr","      2_AddErr","   se1_CL_CRRT","       se2_CLr","        se3_V1","         se4_Q","        se5_V2","se6_CKDEPI_on_CLr","  se7_BW_on_V1","se1_IIV_CLcrrt","   se2_IIV_CLr","  seOMEGA(3,2)","    se3_IIV_V1","   se1_PropErr","    se2_AddErr","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_iwres(%)","           EI1","           EI2","           EI3","           EI4","           EI5","           EI6","           EI7","           EI8","           EI9","          EI10","          EI11","          EI12","          EI13",
"         0.05%",      4016.958,      1.028088,     0.5095526,      27.47961,-10.6610686034812,-2.34664661295968,-0.22483404520764,     0.1787964,-0.0863134723078857,      0.073552,-0.0675996827540802,    0.08383233,    0.01763174,             0,
"          0.5%",       4310.06,      1.143376,     0.5337747,      29.96476,-5.6272459956988,    0.00152171,-0.0927775447639692,     0.3365644,-0.00623156595370067,     0.1066834,-0.0378271372247257,     0.1325802,    0.01987898,             0,
"          2.5%",      4562.603,      1.242711,      0.554645,      32.10601,-1.29000245033374,      2.024751,    0.02100501,     0.4725005,    0.06276863,     0.1352301,-0.0121745087974463,     0.1745824,    0.02181525,             0,
"            5%",      4691.827,       1.29354,     0.5653242,      33.20167,     0.9293308,      3.060022,    0.07922665,     0.5420579,    0.09807548,     0.1498372,  0.0009517387,     0.1960745,    0.02280602,             0,
