,"",,11 runs with miminization terminated were skipped when calculating the bootstrap results,
,"",,1 runs with estimates near a boundary were skipped when calculating the bootstrap results,
diagnostic.means
"","covariance.step.run","minimization.successful","covariance.step.successful","covariance.step.warnings","estimate.near.boundary","rounding.errors","zero.gradients","final.zero.gradients"," hessian.reset","s.matrix.singular","significant.digits","condition.number","   est.methods","model.run.time","subprob.est.time","subprob.cov.time",
"",             0,         0.945,             0,             0,         0.005,         0.055,             0,             0,         0.325,             0,      2.405612,              NA,             0,             0,       358.721,             0,
means
"","           ofv","     1_CL_CRRT","         2_CLr","          3_V1","           4_Q","          5_V2","6_CKDEPI_on_CLr","    7_BW_on_V1","  1_IIV_CLcrrt","     2_IIV_CLr","    OMEGA(3,2)","      3_IIV_V1","     1_PropErr","      2_AddErr","   se1_CL_CRRT","       se2_CLr","        se3_V1","         se4_Q","        se5_V2","se6_CKDEPI_on_CLr","  se7_BW_on_V1","se1_IIV_CLcrrt","   se2_IIV_CLr","  seOMEGA(3,2)","    se3_IIV_V1","   se1_PropErr","    se2_AddErr","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_iwres(%)","           EI1","           EI2","           EI3","           EI4","           EI5","           EI6","           EI7","           EI8","           EI9","          EI10","          EI11","          EI12","          EI13",
"",       5294.06,      1.566508,     0.6041641,      39.59406,      12.95385,        8.7543,     0.7009783,      0.866364,       0.28752,     0.2115697,    0.06988882,     0.3147194,    0.02689855,             0,
bias
"","           ofv","     1_CL_CRRT","         2_CLr","          3_V1","           4_Q","          5_V2","6_CKDEPI_on_CLr","    7_BW_on_V1","  1_IIV_CLcrrt","     2_IIV_CLr","    OMEGA(3,2)","      3_IIV_V1","     1_PropErr","      2_AddErr","   se1_CL_CRRT","       se2_CLr","        se3_V1","         se4_Q","        se5_V2","se6_CKDEPI_on_CLr","  se7_BW_on_V1","se1_IIV_CLcrrt","   se2_IIV_CLr","  seOMEGA(3,2)","    se3_IIV_V1","   se1_PropErr","    se2_AddErr","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_iwres(%)","           EI1","           EI2","           EI3","           EI4","           EI5","           EI6","           EI7","           EI8","           EI9","          EI10","          EI11","          EI12","          EI13",
"",-41.900205252995,    0.00334766,-2.08670212769047e-05,-0.106540957446811,     0.8267454,       0.17732,    0.03791725,-0.0205980000000006,   0.003287998,-0.00441133670212757,   0.002678819,-0.00288056914893609,-0.000478849468085098,             0,
standard.error.confidence.intervals
"","           ofv","     1_CL_CRRT","         2_CLr","          3_V1","           4_Q","          5_V2","6_CKDEPI_on_CLr","    7_BW_on_V1","  1_IIV_CLcrrt","     2_IIV_CLr","    OMEGA(3,2)","      3_IIV_V1","     1_PropErr","      2_AddErr","   se1_CL_CRRT","       se2_CLr","        se3_V1","         se4_Q","        se5_V2","se6_CKDEPI_on_CLr","  se7_BW_on_V1","se1_IIV_CLcrrt","   se2_IIV_CLr","  seOMEGA(3,2)","    se3_IIV_V1","   se1_PropErr","    se2_AddErr","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_iwres(%)","           EI1","           EI2","           EI3","           EI4","           EI5","           EI6","           EI7","           EI8","           EI9","          EI10","          EI11","          EI12","          EI13",
"         0.05%",       3929.25,       1.08844,     0.5011507,      29.30129,-6.0415127497094,-2.00148162685996,      0.162212,     0.2105223,-0.102249776847737,    0.06391214,-0.0615479179395338,      0.107141,    0.01526692,             0,
"          0.5%",      4234.789,       1.19155,     0.5235298,      31.56003,-2.09527128725162,     0.2961712,     0.2709969,     0.3574457,-0.0183055355734392,    0.09694165,-0.0335815651203923,     0.1528529,    0.01789733,             0,
"          2.5%",      4498.048,      1.280391,     0.5428122,      33.50621,       1.30489,      2.275875,     0.3647282,     0.4840379,    0.05402252,     0.1254006,-0.00948518892614682,     0.1922392,    0.02016374,             0,
"            5%",      4632.755,      1.325851,     0.5526788,      34.50205,      3.044726,      3.288874,     0.4126898,     0.5488141,    0.09103222,     0.1399627,   0.002844737,     0.2123929,    0.02132345,             0,
"           95%",      6039.166,      1.800469,     0.6556912,      44.89915,      21.20947,      13.86509,     0.9134322,       1.22511,     0.4774318,     0.2919993,     0.1315753,     0.4228071,    0.03343135,             0,
"         97.5%",      6173.873,      1.845929,     0.6655578,      45.89499,      22.94931,      14.87808,     0.9613938,      1.289886,     0.5144415,     0.3065614,     0.1439052,     0.4429608,    0.03459106,             0,
"         99.5%",      6437.131,       1.93477,     0.6848402,      47.84117,      26.34947,      16.85779,      1.055125,      1.416478,     0.5867695,     0.3350203,     0.1680016,     0.4823471,    0.03685747,             0,
"        99.95%",       6742.67,       2.03788,     0.7072193,      50.09991,      30.29571,      19.15544,       1.16391,      1.563402,     0.6707138,     0.3680499,     0.1959679,      0.528059,    0.03948788,             0,
standard.errors
"","           ofv","     1_CL_CRRT","         2_CLr","          3_V1","           4_Q","          5_V2","6_CKDEPI_on_CLr","    7_BW_on_V1","  1_IIV_CLcrrt","     2_IIV_CLr","    OMEGA(3,2)","      3_IIV_V1","     1_PropErr","      2_AddErr","   se1_CL_CRRT","       se2_CLr","        se3_V1","         se4_Q","        se5_V2","se6_CKDEPI_on_CLr","  se7_BW_on_V1","se1_IIV_CLcrrt","   se2_IIV_CLr","  seOMEGA(3,2)","    se3_IIV_V1","   se1_PropErr","    se2_AddErr","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_iwres(%)","           EI1","           EI2","           EI3","           EI4","           EI5","           EI6","           EI7","           EI8","           EI9","          EI10","          EI11","          EI12","          EI13",
"",      427.5065,     0.1442698,    0.03131267,      3.160403,      5.521536,      3.214849,     0.1522106,     0.2055735,     0.1174538,    0.04621451,     0.0391302,    0.06395958,   0.003680439,             0,
medians
"","           ofv","     1_CL_CRRT","         2_CLr","          3_V1","           4_Q","          5_V2","6_CKDEPI_on_CLr","    7_BW_on_V1","  1_IIV_CLcrrt","     2_IIV_CLr","    OMEGA(3,2)","      3_IIV_V1","     1_PropErr","      2_AddErr","   se1_CL_CRRT","       se2_CLr","        se3_V1","         se4_Q","        se5_V2","se6_CKDEPI_on_CLr","  se7_BW_on_V1","se1_IIV_CLcrrt","   se2_IIV_CLr","  seOMEGA(3,2)","    se3_IIV_V1","   se1_PropErr","    se2_AddErr","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_iwres(%)","           EI1","           EI2","           EI3","           EI4","           EI5","           EI6","           EI7","           EI8","           EI9","          EI10","          EI11","          EI12","          EI13",
"",      5290.583,      1.564405,      0.603561,      39.40725,      11.94355,      8.684905,      0.699763,      0.881184,       0.27044,     0.2105705,    0.06816025,      0.309035,    0.02655135,             0,
percentile.confidence.intervals
"","           ofv","     1_CL_CRRT","         2_CLr","          3_V1","           4_Q","          5_V2","6_CKDEPI_on_CLr","    7_BW_on_V1","  1_IIV_CLcrrt","     2_IIV_CLr","    OMEGA(3,2)","      3_IIV_V1","     1_PropErr","      2_AddErr","   se1_CL_CRRT","       se2_CLr","        se3_V1","         se4_Q","        se5_V2","se6_CKDEPI_on_CLr","  se7_BW_on_V1","se1_IIV_CLcrrt","   se2_IIV_CLr","  seOMEGA(3,2)","    se3_IIV_V1","   se1_PropErr","    se2_AddErr","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_iwres(%)","           EI1","           EI2","           EI3","           EI4","           EI5","           EI6","           EI7","           EI8","           EI9","          EI10","          EI11","          EI12","          EI13",
"         0.05%",              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,
"          0.5%",              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,
"          2.5%",      4373.121,      1.293536,     0.5362504,      33.63187,      4.210786,      2.636592,     0.3973356,      0.414712,      0.104958,     0.1322399,  -0.005733446,     0.1966711,    0.02033312,             0,
"            5%",      4571.866,      1.330307,     0.5532702,      34.72219,      5.800898,      3.413511,     0.4443801,     0.5222075,      0.128872,     0.1369542,    0.01653192,     0.2193486,    0.02129237,             0,
"           95%",      6058.745,      1.799321,     0.6541945,      44.81508,      24.23819,      14.04669,     0.9565294,      1.162858,     0.4915225,     0.2921641,      0.141386,     0.4240523,    0.03361564,             0,
"         97.5%",      6140.714,      1.841287,     0.6650105,      45.53928,      28.86932,      15.28947,      1.012123,      1.232517,     0.5516228,     0.3081345,     0.1556519,      0.458373,     0.0342219,             0,
"         99.5%",              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,
"        99.95%",              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,
