,"",,8 runs with miminization terminated were skipped when calculating the bootstrap results,
,"",,2 runs with estimates near a boundary were skipped when calculating the bootstrap results,
diagnostic.means
"","covariance.step.run","minimization.successful","covariance.step.successful","covariance.step.warnings","estimate.near.boundary","rounding.errors","zero.gradients","final.zero.gradients"," hessian.reset","s.matrix.singular","significant.digits","condition.number","   est.methods","model.run.time","subprob.est.time","subprob.cov.time",
"",             0,          0.96,             0,             0,          0.01,          0.04,          0.06,          0.01,         0.265,             0,      2.431658,              NA,             0,             0,      368.0324,             0,
means
"","           ofv","     1_CL_CRRT","         2_CLr","          3_V1","           4_Q","          5_V2","6_CKDEPI_on_CLr","    7_BW_on_V1","  1_IIV_CLcrrt","     2_IIV_CLr","    OMEGA(3,2)","      3_IIV_V1","     1_PropErr","      2_AddErr","   se1_CL_CRRT","       se2_CLr","        se3_V1","         se4_Q","        se5_V2","se6_CKDEPI_on_CLr","  se7_BW_on_V1","se1_IIV_CLcrrt","   se2_IIV_CLr","  seOMEGA(3,2)","    se3_IIV_V1","   se1_PropErr","    se2_AddErr","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_iwres(%)","           EI1","           EI2","           EI3","           EI4","           EI5","           EI6","           EI7","           EI8","           EI9","          EI10","          EI11","          EI12","          EI13",
"",      5296.537,      1.575412,      0.605462,      39.56635,      12.87278,      8.582415,     0.5993074,     0.8969128,     0.2827518,     0.2026157,    0.06619242,     0.3076962,    0.02697048,             0,
bias
"","           ofv","     1_CL_CRRT","         2_CLr","          3_V1","           4_Q","          5_V2","6_CKDEPI_on_CLr","    7_BW_on_V1","  1_IIV_CLcrrt","     2_IIV_CLr","    OMEGA(3,2)","      3_IIV_V1","     1_PropErr","      2_AddErr","   se1_CL_CRRT","       se2_CLr","        se3_V1","         se4_Q","        se5_V2","se6_CKDEPI_on_CLr","  se7_BW_on_V1","se1_IIV_CLcrrt","   se2_IIV_CLr","  seOMEGA(3,2)","    se3_IIV_V1","   se1_PropErr","    se2_AddErr","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_iwres(%)","           EI1","           EI2","           EI3","           EI4","           EI5","           EI6","           EI7","           EI8","           EI9","          EI10","          EI11","          EI12","          EI13",
"",-41.0139685989934,   0.009751684,   0.003023047,-0.157054736842092,     0.7970775,     0.1508947,    0.01342144,-0.0133991526315791,   0.002500784,-0.00321934210526323,   0.002328722,-0.0057258263157895,-0.000563024736842124,             0,
standard.error.confidence.intervals
"","           ofv","     1_CL_CRRT","         2_CLr","          3_V1","           4_Q","          5_V2","6_CKDEPI_on_CLr","    7_BW_on_V1","  1_IIV_CLcrrt","     2_IIV_CLr","    OMEGA(3,2)","      3_IIV_V1","     1_PropErr","      2_AddErr","   se1_CL_CRRT","       se2_CLr","        se3_V1","         se4_Q","        se5_V2","se6_CKDEPI_on_CLr","  se7_BW_on_V1","se1_IIV_CLcrrt","   se2_IIV_CLr","  seOMEGA(3,2)","    se3_IIV_V1","   se1_PropErr","    se2_AddErr","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_iwres(%)","           EI1","           EI2","           EI3","           EI4","           EI5","           EI6","           EI7","           EI8","           EI9","          EI10","          EI11","          EI12","          EI13",
"         0.05%",      4015.587,      1.030584,     0.5022005,      27.34728,-7.60662215416175,-2.54937636727543,     0.1827282,     0.2460733,-0.151244615868538,    0.06361089,-0.0692943384739437,    0.09036716,    0.01590968,             0,
"          0.5%",      4302.719,      1.146803,     0.5239724,      30.03538,-3.33160144497488,-0.16431432998877,     0.2702945,     0.3903467,-0.0575233222471295,    0.09450211,-0.0403722749281824,     0.1388149,    0.01843439,             0,
"          2.5%",      4550.118,       1.24694,     0.5427315,      32.35151,      0.351843,      1.890703,     0.3457434,     0.5146555,    0.02322884,     0.1211186,-0.0154524390089438,     0.1805585,    0.02060972,             0,
"            5%",       4676.71,      1.298179,     0.5523304,      33.53666,      2.236632,       2.94224,       0.38435,     0.5782633,    0.06454909,     0.1347381,-0.00270115564072025,     0.2019183,    0.02172283,             0,
"           95%",      5998.393,      1.833141,     0.6525476,      45.91014,      21.91477,       13.9208,      0.787422,      1.242361,     0.4959529,     0.2769319,     0.1304286,     0.4249257,    0.03334417,             0,
"         97.5%",      6124.985,       1.88438,     0.6621465,      47.09529,      23.79956,      14.97234,     0.8260286,      1.305969,     0.5372732,     0.2905514,     0.1431798,     0.4462855,    0.03445728,             0,
"         99.5%",      6372.383,      1.984517,     0.6809056,      49.41142,        27.483,      17.02735,     0.9014775,      1.430277,     0.6180253,     0.3171679,     0.1680997,     0.4880291,    0.03663261,             0,
"        99.95%",      6659.515,      2.100736,     0.7026775,      52.09952,      31.75802,      19.41242,     0.9890438,      1.574551,     0.7117466,     0.3480591,     0.1970217,     0.5364768,    0.03915732,             0,
standard.errors
"","           ofv","     1_CL_CRRT","         2_CLr","          3_V1","           4_Q","          5_V2","6_CKDEPI_on_CLr","    7_BW_on_V1","  1_IIV_CLcrrt","     2_IIV_CLr","    OMEGA(3,2)","      3_IIV_V1","     1_PropErr","      2_AddErr","   se1_CL_CRRT","       se2_CLr","        se3_V1","         se4_Q","        se5_V2","se6_CKDEPI_on_CLr","  se7_BW_on_V1","se1_IIV_CLcrrt","   se2_IIV_CLr","  seOMEGA(3,2)","    se3_IIV_V1","   se1_PropErr","    se2_AddErr","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_iwres(%)","           EI1","           EI2","           EI3","           EI4","           EI5","           EI6","           EI7","           EI8","           EI9","          EI10","          EI11","          EI12","          EI13",
"",      401.7518,     0.1626125,    0.03046301,      3.761168,       5.98156,      3.337151,     0.1225218,     0.2018656,     0.1311338,    0.04322264,    0.04046742,    0.06778752,   0.003532539,             0,
medians
"","           ofv","     1_CL_CRRT","         2_CLr","          3_V1","           4_Q","          5_V2","6_CKDEPI_on_CLr","    7_BW_on_V1","  1_IIV_CLcrrt","     2_IIV_CLr","    OMEGA(3,2)","      3_IIV_V1","     1_PropErr","      2_AddErr","   se1_CL_CRRT","       se2_CLr","        se3_V1","         se4_Q","        se5_V2","se6_CKDEPI_on_CLr","  se7_BW_on_V1","se1_IIV_CLcrrt","   se2_IIV_CLr","  seOMEGA(3,2)","    se3_IIV_V1","   se1_PropErr","    se2_AddErr","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_iwres(%)","           EI1","           EI2","           EI3","           EI4","           EI5","           EI6","           EI7","           EI8","           EI9","          EI10","          EI11","          EI12","          EI13",
"",      5295.887,       1.58703,      0.605917,        39.356,       12.1362,       8.46173,      0.592953,      0.884994,      0.260778,     0.1983865,    0.06418365,      0.307613,    0.02675585,             0,
percentile.confidence.intervals
"","           ofv","     1_CL_CRRT","         2_CLr","          3_V1","           4_Q","          5_V2","6_CKDEPI_on_CLr","    7_BW_on_V1","  1_IIV_CLcrrt","     2_IIV_CLr","    OMEGA(3,2)","      3_IIV_V1","     1_PropErr","      2_AddErr","   se1_CL_CRRT","       se2_CLr","        se3_V1","         se4_Q","        se5_V2","se6_CKDEPI_on_CLr","  se7_BW_on_V1","se1_IIV_CLcrrt","   se2_IIV_CLr","  seOMEGA(3,2)","    se3_IIV_V1","   se1_PropErr","    se2_AddErr","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_iwres(%)","           EI1","           EI2","           EI3","           EI4","           EI5","           EI6","           EI7","           EI8","           EI9","          EI10","          EI11","          EI12","          EI13",
"         0.05%",              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,
"          0.5%",              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,
"          2.5%",      4512.121,       1.24222,     0.5289333,      31.67984,      3.945861,      2.336079,     0.3934352,     0.5079869,    0.08163265,     0.1214126,-0.00770059375,      0.184605,    0.02046842,             0,
"            5%",      4675.368,      1.295955,     0.5501867,      33.18796,      4.826706,       3.13688,     0.4140635,     0.5612923,     0.1109084,     0.1393346,   0.009670296,     0.1961997,     0.0214213,             0,
"           95%",       6094.42,      1.848215,     0.6523861,      46.15593,      23.46316,      13.93891,     0.8185545,      1.222071,     0.5346358,     0.2826836,     0.1384733,     0.4289989,    0.03253256,             0,
"         97.5%",      6247.275,      1.916679,     0.6587571,      47.28464,      28.14376,      15.26719,     0.8788487,      1.289436,      0.603447,     0.2981263,     0.1584041,      0.458221,    0.03323514,             0,
"         99.5%",              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,
"        99.95%",              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,
