PTA_Cmin_75,PTA_Cmin_80,PTA_fAUC_200,PTA_fAUC_400,DAY,BW
46.2,0,90,28.4,1,30
34.9,0,67.9,15.8,2,30
30.2,0,99.7,93.5,6,30
31.4,0,61.2,14.5,7,30
30.3,0,100,98.8,13,30
30.6,0,61.2,14.9,14,30
46,0,88.7,23.7,1,35
35.3,0,67,13.9,2,35
32.5,0,99.8,92.5,6,35
31.6,0,60.5,13.9,7,35
32.4,0,100,99,13,35
32.1,0,60.4,14.3,14,35
49.4,0,85.8,19.7,1,40
38.5,0,68,14.4,2,40
36.3,0,99.6,93.2,6,40
36.9,0,61.1,16.5,7,40
36.7,0,100,98.6,13,40
37.7,0,61,16.8,14,40
45.8,0,84.8,17.9,1,45
38.2,0,64.2,13.3,2,45
36.3,0,99.8,94,6,45
37.5,0,58.6,15.7,7,45
36.5,0,100,99.1,13,45
37.8,0,58.6,16.2,14,45
45.2,0,81.1,13.9,1,50
40.1,0,64.4,11.4,2,50
37.6,0,99.7,93.8,6,50
36.5,0,57.8,14.6,7,50
37,0,100,98.7,13,50
37.5,0,57.8,15.3,14,50
47.3,0,78.5,12.7,1,55
41.2,0,64.2,10.5,2,55
39.3,0,100,94.2,6,55
40.4,0,61.2,13.5,7,55
40.1,0,100,99.2,13,55
39,0,61,14.4,14,55
44.9,0,76,10.1,1,60
42.4,0,62,8,2,60
41,0,99.8,94.9,6,60
39.5,0,58.9,12.1,7,60
39.6,0,100,99.1,13,60
39.4,0,58.9,13.2,14,60
45.1,0,74.5,8.8,1,65
42.6,0,62.8,7.9,2,65
40.9,0,99.8,93.9,6,65
43.2,0,60,12.4,7,65
42.1,0,100,99.2,13,65
42.9,0,60.2,13.6,14,65
44.2,0,71.1,6.1,1,70
41.8,0,61.9,6.8,2,70
44.6,0,99.9,94.7,6,70
43.1,0,58.8,13.3,7,70
43.7,0,100,99.4,13,70
42.4,0,59.1,14.6,14,70
43.2,0,65.2,6.3,1,75
44.3,0,61.1,5.6,2,75
45.6,0,99.7,93.6,6,75
44.8,0,61.8,10.9,7,75
45.9,0,100,98.8,13,75
46.1,0,62,14.2,14,75
44,0,62,5.1,1,80
43.3,0,57.3,5.7,2,80
46.8,0,99.9,94.7,6,80
46.9,0,61,13.1,7,80
47.4,0,100,98.9,13,80
48.7,0,61.7,15.3,14,80
39.7,0,60.3,4.3,1,85
41.6,0,56.4,3.4,2,85
44.6,0,99.7,94.7,6,85
45.9,0,59.8,10.2,7,85
47,0,99.9,99.2,13,85
46,0,60.1,12.4,14,85
39.8,0,58.9,3.8,1,90
42.9,0,57,5,2,90
47.5,0,100,93.9,6,90
47.8,0,60.6,12.3,7,90
48.8,0,100,99.6,13,90
47.9,0,61.3,14.9,14,90
34.9,0,54.1,2.6,1,95
37.9,0,50.7,2.8,2,95
43.9,0,99.7,95,6,95
43.6,0,55.7,9.8,7,95
45.1,0,100,99.4,13,95
45.2,0,56.5,12.4,14,95
35.4,0,53.6,2.5,1,100
40.9,0,52.5,2.9,2,100
47.9,0,99.7,95.1,6,100
48.6,0,60.1,9.5,7,100
48.4,0,100,99,13,100
49.5,0,60.6,13.3,14,100
36.2,0,48.9,2.3,1,105
39.5,0,50.1,2.8,2,105
46.8,0,99.8,92.1,6,105
48,0,57.8,10.6,7,105
49.3,0,100,98.3,13,105
49.4,0,59.4,13.1,14,105
36.6,0,46.2,2.6,1,110
39.7,0,49.6,3.6,2,110
50.6,0,99.9,92.9,6,110
50.9,0,59.1,12.1,7,110
50.1,0,99.9,98.6,13,110
52.2,0,60.9,15.2,14,110
32.4,0,46,1.3,1,115
39.1,0,48.7,2.9,2,115
47,0,99.6,94.1,6,115
47.9,0,56.6,11.1,7,115
47.9,0,100,99.2,13,115
48.9,0,58.1,14.2,14,115
33.8,0,43.8,2.5,1,120
41.4,0,49.1,2.9,2,120
50.1,0,99.9,94.3,6,120
53.1,0,60.1,10.2,7,120
53.6,0,100,98.8,13,120
52.8,0,61.9,14.1,14,120
30.1,0,39.3,0.9,1,125
35.8,0,44,1.9,2,125
49.9,0,99.5,93.7,6,125
50.4,0,57.3,8.1,7,125
53.2,0,100,98.6,13,125
52.6,0,60,12.4,14,125
30,0,38.8,1.4,1,130
36.4,0,44.5,2.1,2,130
50.6,0,99.8,94.5,6,130
51,0,58.9,7.6,7,130
52.6,0,100,98.8,13,130
54.3,0,61.7,11.1,14,130
29.5,0,36.8,1.3,1,135
37.6,0,42.5,2,2,135
52.7,0,99.8,93.5,6,135
53,0,58.8,9.5,7,135
55.1,0,100,98.7,13,135
55.5,0,61,13.9,14,135
27.7,0,35.4,0.7,1,140
34.4,0,40.7,1.3,2,140
47.3,0,99.9,93.7,6,140
49,0,53.1,8.4,7,140
50.4,0,100,99,13,140
52,0,55.2,11.9,14,140
24.4,0,31,0.8,1,145
33.8,0,38.2,1.6,2,145
50.1,0,99.8,94.3,6,145
50.7,0,56,9.2,7,145
54.5,0,100,99,13,145
52.9,0,59.9,15.2,14,145
26.8,0,28.6,0.8,1,150
33.8,0,37.1,1.5,2,150
51.3,0,99.9,93.9,6,150
52.9,0,56.7,9.2,7,150
54.5,0,100,99.5,13,150
54.2,0,59.5,13.8,14,150
