PTA_Cmin_75,PTA_Cmin_80,PTA_fAUC_200,PTA_fAUC_400,DAY,BW
46.2,0,90,28.4,1,30
47.6,0,85,34.7,2,30
47.3,0,100,98.8,6,30
47.4,0.1,84.5,39,7,30
47.7,0,100,99.9,13,30
47.3,0,84.5,39,14,30
46,0,88.7,23.7,1,35
49.4,0,85.8,31.8,2,35
50,0,100,99,6,35
49.4,0,85.1,37.2,7,35
48.6,0,100,100,13,35
48.7,0,85.1,37.3,14,35
49.4,0,85.8,19.7,1,40
51.1,0,84.7,31.4,2,40
53,0,100,98.6,6,40
53.5,0,84.7,39.1,7,40
54,0,100,99.7,13,40
54.7,0,84.7,39.3,14,40
45.8,0,84.8,17.9,1,45
52.5,0,83.3,29.5,2,45
53.7,0,100,99.1,6,45
53.8,0,83.7,38.4,7,45
54.1,0,100,99.9,13,45
54.4,0,83.7,38.6,14,45
45.2,0,81.1,13.9,1,50
51.9,0,82.6,26.2,2,50
54.5,0,100,98.7,6,50
53.4,0,83.8,37.4,7,50
55.1,0,100,99.8,13,50
54.4,0,83.9,37.8,14,50
47.3,0,78.5,12.7,1,55
55.5,0,81.4,25.3,2,55
59,0,100,99.2,6,55
58.9,0,83.9,37.3,7,55
59.7,0,100,100,13,55
59.5,0,83.9,38.7,14,55
44.9,0,76,10.1,1,60
56.2,0,82.1,21.6,2,60
59.4,0,100,99.1,6,60
60.2,0,84.8,36.3,7,60
60.6,0,100,100,13,60
59.8,0,84.8,37.5,14,60
45.1,0,74.5,8.8,1,65
58,0,82.5,21.2,2,65
61.6,0,100,99.2,6,65
62.5,0,85.2,37.2,7,65
61.6,0,100,99.9,13,65
61.8,0.2,85.2,38,14,65
44.2,0,71.1,6.1,1,70
56.9,0,83,19.5,2,70
62,0,100,99.4,6,70
63,0,86.5,36.8,7,70
63.9,0,100,100,13,70
62.5,0,86.6,39.4,14,70
43.2,0,65.2,6.3,1,75
59.1,0,78.6,16.9,2,75
65.3,0,100,98.9,6,75
63.6,0,83.9,38,7,75
65.5,0.1,100,99.8,13,75
65.1,0,84,39.3,14,75
44,0,62,5.1,1,80
59.1,0,78.5,15.3,2,80
68.2,0,100,98.9,6,80
67.5,0,85.1,37.3,7,80
67.6,0.1,100,100,13,80
68.3,0.1,85.1,40.1,14,80
39.7,0,60.3,4.3,1,85
56.7,0,77.5,14.2,2,85
66.4,0,99.9,99.1,6,85
67.2,0,85.2,35,7,85
66.5,0.1,100,99.8,13,85
65.5,0.1,85.3,37.2,14,85
39.8,0,58.9,3.8,1,90
60.2,0,78.1,13.7,2,90
66.8,0,100,99.6,6,90
69,0,85.1,37.2,7,90
69.5,0,100,100,13,90
69.8,0.1,85.4,39.7,14,90
34.9,0,54.1,2.6,1,95
53.3,0,73.8,10.1,2,95
66.9,0,100,99.4,6,95
65.3,0,84.4,31.1,7,95
65.8,0.1,100,99.8,13,95
66.1,0.1,84.9,34.3,14,95
35.4,0,53.6,2.5,1,100
57.8,0,73.9,12.1,2,100
67.1,0,100,99,6,100
67.3,0,84.5,35.1,7,100
68.9,0,100,99.9,13,100
68,0,84.9,38.9,14,100
36.2,0,48.9,2.3,1,105
56.5,0,69.4,10.7,2,105
67,0,100,98.3,6,105
68.7,0,81.6,34.3,7,105
68.2,0,100,100,13,105
67.6,0,82,37.7,14,105
36.6,0,46.2,2.6,1,110
56,0,68.7,12.1,2,110
68.6,0,99.9,98.6,6,110
71,0,82.8,34.5,7,110
70.6,0,100,99.9,13,110
71,0,83.3,38.3,14,110
32.4,0,46,1.3,1,115
55.5,0,69,9.1,2,115
69.3,0,100,99.2,6,115
69.4,0,83.3,32,7,115
70.6,0,100,99.8,13,115
70.8,0,84,35.5,14,115
33.8,0,43.8,2.5,1,120
57.6,0,69.6,9.1,2,120
71.4,0,100,98.7,6,120
70.9,0,84.8,35.7,7,120
73,0,100,99.9,13,120
72.5,0,85,40.2,14,120
30.1,0,39.3,0.9,1,125
53.8,0,65.9,6.8,2,125
72,0,100,98.6,6,125
72.4,0,83.5,30.6,7,125
72.8,0,100,99.7,13,125
73.1,0,84.4,36.3,14,125
30,0,38.8,1.4,1,130
54.4,0,64.6,7.5,2,130
72.9,0,100,98.7,6,130
72.9,0,85.2,30.2,7,130
71.9,0,100,99.9,13,130
73.2,0,85.5,36.6,14,130
29.5,0,36.8,1.3,1,135
54.9,0,63.8,6.4,2,135
72.7,0,100,98.6,6,135
72.7,0,84.4,33,7,135
74.9,0,100,99.9,13,135
74,0,85.1,39.3,14,135
27.7,0,35.4,0.7,1,140
50.9,0,60,5.4,2,140
68.6,0,100,99,6,140
70.6,0,82.4,31.4,7,140
71.3,0,100,100,13,140
71,0.1,83.1,36.3,14,140
24.4,0,31,0.8,1,145
51.9,0,59,6.9,2,145
73.6,0,100,99,6,145
74.1,0,83.9,31.8,7,145
73.8,0,100,100,13,145
75.4,0,84.8,37.4,14,145
26.8,0,28.6,0.8,1,150
50,0,56.4,5.4,2,150
70.9,0,100,99.5,6,150
72.7,0,81.8,29.1,7,150
73.2,0,100,99.9,13,150
73.1,0,82.7,37.7,14,150
