PTA_Cmin_75,PTA_Cmin_80,PTA_fAUC_200,PTA_fAUC_400,DAY,BW
5.2,0,18.7,0,1,30
5.8,0,10.7,0.1,2,30
7.1,0,91.1,52,6,30
7.5,0,10.6,0.6,7,30
7.3,0,98.1,80.4,13,30
7.8,0,10.7,0.6,14,30
9.5,0,28.6,0.1,1,35
10.2,0,17,0,2,35
11.1,0,93.9,64.6,6,35
11.4,0,16.5,0.7,7,35
11.5,0,99.3,86.8,13,35
11.6,0,16.8,0.8,14,35
16.1,0,37.7,0.4,1,40
16,0,26.6,0.2,2,40
16.4,0,96.7,74.3,6,40
16.4,0,24.9,0.9,7,40
17.1,0,99.4,90.6,13,40
16.9,0,25.4,1.4,14,40
20.1,0,49,1.5,1,45
20.4,0,33,1.5,2,45
20.8,0,98.5,78.4,6,45
22.2,0,31.7,3,7,45
22.5,0,99.8,94.4,13,45
21.8,0,31.8,3.7,14,45
26,0,53.8,1.8,1,50
23.7,0,38.1,2.1,2,50
25.8,0,98.7,84.4,6,50
25.1,0,37.8,5.7,7,50
25.6,0,99.8,95.7,13,50
25.5,0,37.8,6.7,14,50
34.1,0,61.3,4.4,1,55
30.2,0,49.3,3.4,2,55
30.2,0,99.6,88.4,6,55
30.2,0,46.5,7,7,55
30.4,0,100,97,13,55
30.4,0,46.9,7.8,14,55
35.9,0,64.8,5.1,1,60
35.2,0,52.8,4.4,2,60
35.5,0,99.6,91.6,6,60
34.2,0,51,7.8,7,60
35.1,0,100,98.7,13,60
34.8,0,51.4,9,14,60
43,0,72.5,7.7,1,65
40.7,0,60.5,7,2,65
39.8,0,99.8,93.4,6,65
41.7,0,57.6,11.9,7,65
40.6,0,100,99.2,13,65
42,0,57.5,12.8,14,65
48.6,0,75.3,8.7,1,70
44.8,0,66.3,9,2,70
46.7,0,100,96,6,70
45.8,0,63.7,15.4,7,70
46.1,0,100,99.6,13,70
44,0,64.2,16.6,14,70
52.5,0,76.2,13.3,1,75
52.1,0,70.8,10.6,2,75
50.3,0,99.8,95.7,6,75
50.7,0,70.4,18,7,75
52.2,0,100,99,13,75
52,0,70.3,20.8,14,75
59.5,0,77.8,13.3,1,80
55.9,0,74.6,12.8,2,80
57.4,0,100,97.4,6,80
57.7,0,73.7,21.1,7,80
57.3,0,100,99.6,13,80
58.2,0,73.8,23.6,14,80
61.4,0,81.9,16.1,1,85
57.9,0,76.7,15.4,2,85
59.1,0,99.8,98.2,6,85
59.6,0,75.4,24.1,7,85
58.6,0,99.9,99.6,13,85
59.4,0.1,75.7,26.3,14,85
65.5,0,82.9,18.5,1,90
64.9,0,81.1,19.7,2,90
63.1,0,100,99,6,90
63.8,0,80.5,29.4,7,90
65,0,100,100,13,90
64.8,0,81,31.9,14,90
66.1,0,84.3,17.9,1,95
62.9,0,82.1,18.7,2,95
64.5,0,100,99.2,6,95
63.4,0,81.1,28.8,7,95
63.3,0.1,100,99.8,13,95
63.2,0.1,81.3,30.8,14,95
70.5,0,86.6,23.6,1,100
68,0,86.8,24.8,2,100
67.5,0,100,99,6,100
67.6,0,84.8,36.8,7,100
68.9,0,100,99.9,13,100
68,0,84.9,39,14,100
72.1,0,85.8,23.5,1,105
70.7,0,84.4,28.4,2,105
69.1,0,100,98.9,6,105
70.4,0,83.5,38.8,7,105
70.5,0.1,100,100,13,105
69.7,0,83.8,41.3,14,105
73.5,0,86.6,28.3,1,110
72.9,0,86.7,31.3,2,110
73.3,0,99.9,99.4,6,110
74.3,0,87.2,43.5,7,110
73.6,0,100,99.9,13,110
73,0,87.3,46.1,14,110
76.5,0,88.3,28.9,1,115
76.3,0,88.8,33.2,2,115
76.2,0,100,99.6,6,115
75.9,0,89.3,45.2,7,115
76.9,0,100,99.9,13,115
76.8,0.1,89.4,46.6,14,115
80.4,0,89.1,32.4,1,120
78.5,0,91.1,37.2,2,120
79.1,0,100,99.8,6,120
78.6,0,92.6,51.7,7,120
79.1,0.1,100,100,13,120
79.3,0.1,92.8,53.9,14,120
79.8,0,89.2,31.7,1,125
81.1,0,91.8,37.2,2,125
80.1,0,100,99.4,6,125
80.5,0.1,92.5,51.4,7,125
80.8,0.4,100,100,13,125
80.2,0.4,92.5,54.4,14,125
83.8,0,89.9,34.5,1,130
83.1,0,93.4,42.2,2,130
83.2,0,100,99.7,6,130
81.9,0,94,57.2,7,130
81.7,0.1,100,100,13,130
82.1,0.1,94,59.7,14,130
85.6,0,89.9,36.5,1,135
85.1,0,93.5,43.9,2,135
83.5,0,100,99.8,6,135
84,0,93.8,60.1,7,135
84.5,0.2,100,100,13,135
84.1,0.1,93.8,62.9,14,135
86.4,0,91,38.3,1,140
83.7,0,94.1,45.6,2,140
82.7,0,100,99.9,6,140
82.1,0.1,94.6,57.8,7,140
82.7,0.4,100,100,13,140
82.9,0.2,94.6,60.1,14,140
87.8,0,91.1,37,1,145
86.6,0,95.7,47.4,2,145
87.7,0.1,100,100,6,145
86.8,0,95.8,63.3,7,145
87.7,0.3,100,100,13,145
86.7,0.5,95.8,65.6,14,145
88.4,0,91.6,38.1,1,150
87.1,0,95.7,48,2,150
86.5,0,100,99.9,6,150
86.6,0,97.1,64.9,7,150
86.8,0.3,100,100,13,150
86.9,0,97.2,66.4,14,150
