PTA_Cmin_75,PTA_Cmin_80,PTA_fAUC_200,PTA_fAUC_400,DAY,BW
79.9,0.1,99.9,93.8,1,30
63.1,0.1,94.6,71.4,2,30
57.6,0.2,100,99.7,6,30
58.9,0.3,93.5,61.2,7,30
57.4,0.3,100,100,13,30
59.1,0.4,93.5,61.2,14,30
80.3,0,100,92.2,1,35
67.3,0,94.4,70.3,2,35
61.2,0.1,100,99.8,6,35
61.4,0.3,92.5,60.5,7,35
62.4,0.2,100,100,13,35
62,0.3,92.5,60.4,14,35
82.9,0.1,99.7,91.5,1,40
70,0.1,95.1,70.6,2,40
65.2,0.1,100,99.6,6,40
64.8,0,93.1,61.1,7,40
65.9,0.1,100,100,13,40
64.4,0.1,93.1,61.1,14,40
82.4,0,99.8,90.2,1,45
70.7,0,96.1,67.7,2,45
65.6,0.3,100,99.8,6,45
65,0.2,93.8,58.6,7,45
64.9,0.2,100,100,13,45
65,0.2,93.8,58.6,14,45
86,0,99.8,87.9,1,50
73.7,0,95.5,67.8,2,50
66.6,0,100,99.7,6,50
67,0.1,93.7,57.8,7,50
66.8,0.1,100,100,13,50
66.5,0.1,93.7,57.8,14,50
87.3,0,99.5,85.2,1,55
75.9,0,95.7,68.7,2,55
70.7,0,100,100,6,55
71.6,0,94.2,61.2,7,55
71.2,0.2,100,100,13,55
71.5,0.2,94.2,61,14,55
88.5,0,100,84.4,1,60
75.8,0,96.6,67.3,2,60
71.4,0,100,99.8,6,60
71.1,0,94.7,59,7,60
71.3,0.2,100,100,13,60
71.9,0.1,94.7,58.9,14,60
88.3,0,99.2,82.9,1,65
77.4,0,95.6,67.9,2,65
73,0.1,100,99.8,6,65
72.7,0.3,94.1,60.1,7,65
73.2,0.4,100,100,13,65
72.5,0.5,94.1,60.3,14,65
90.5,0,99.3,79.1,1,70
79.3,0,96.9,68,2,70
75,0.1,100,99.9,6,70
75.4,0,94.5,58.8,7,70
76.1,0.4,100,100,13,70
74.9,0.5,94.5,59.1,14,70
87.6,0,98.9,74.8,1,75
79.9,0,95.2,66.7,2,75
74.9,0.1,100,99.7,6,75
75.9,0.1,93.5,61.9,7,75
75.4,0.2,100,100,13,75
74.4,0,93.5,62,14,75
90,0,99,71.7,1,80
81.6,0,96.3,64.6,2,80
79.2,0.2,100,99.9,6,80
77.9,0.1,94.6,61.1,7,80
77.8,0.5,100,100,13,80
77.9,0.5,94.6,61.7,14,80
90.6,0,98.6,69.6,1,85
82,0,96.5,62.9,2,85
77.6,0.1,100,99.7,6,85
77.2,0.1,94.4,60.2,7,85
77.8,0.3,100,99.9,13,85
77.6,0.1,94.4,60.1,14,85
89.6,0,97.7,68.4,1,90
83.4,0,96,63.2,2,90
79.5,0.1,100,100,6,90
79,0.2,93.8,60.8,7,90
78.9,0.5,100,100,13,90
79.4,0.4,93.8,61.3,14,90
89.9,0,98,63.5,1,95
82.2,0,97.1,58.3,2,95
78.6,0,100,99.7,6,95
79.5,0,94.9,56.3,7,95
79.3,0.4,100,100,13,95
78.4,0.3,94.9,56.5,14,95
90.1,0,98,64.5,1,100
83.1,0,97.2,59.2,2,100
79.5,0.1,100,99.7,6,100
78.7,0,95.1,60.1,7,100
79.8,0.5,100,100,13,100
78.7,0.6,95.1,60.6,14,100
87.9,0,97.3,58.3,1,105
82.2,0,95.4,55.9,2,105
78.2,0.1,100,99.9,6,105
77.9,0.2,92,58.2,7,105
78.2,0.3,100,100,13,105
79,0.2,91.9,59.5,14,105
88.1,0,96.8,57.2,1,110
83.6,0,94.4,55.7,2,110
80.1,0.1,100,99.9,6,110
81.4,0.1,92.9,59.5,7,110
80,0.2,100,99.9,13,110
80.6,0.1,92.9,60.9,14,110
89.9,0,95.7,56.8,1,115
84,0,95.6,55.8,2,115
81,0,100,99.6,6,115
80.1,0,94,56.6,7,115
81.7,0.1,100,100,13,115
80.8,0.4,94,58.1,14,115
90.2,0,95.8,53.6,1,120
85.6,0,95.9,54.9,2,120
82.4,0,100,99.9,6,120
81.8,0,94.2,60.6,7,120
82.6,0.2,100,100,13,120
82.7,0.4,94.2,61.9,14,120
88.8,0,95.1,49,1,125
84.8,0,95.6,51,2,125
82.4,0,100,99.5,6,125
82.8,0.1,93.6,57.9,7,125
82.3,0.7,100,100,13,125
81.5,0.4,93.6,60.1,14,125
89.6,0,94.9,50,1,130
85.8,0,95.1,51,2,130
83.8,0,100,99.8,6,130
83.1,0,94.5,59.6,7,130
82.6,0.1,100,100,13,130
83.1,0.1,94.5,61.7,14,130
89.3,0,93.5,45.4,1,135
86.7,0,95,49.6,2,135
83.5,0,100,99.8,6,135
83.7,0,93.5,59.3,7,135
84.2,0.2,100,100,13,135
83.9,0.1,93.5,61.2,14,135
88.6,0,93.6,43.6,1,140
84,0,94,47.7,2,140
81.5,0,100,99.9,6,140
80.6,0.1,93.9,53.6,7,140
81,0.3,100,100,13,140
81.5,0.2,93.8,55.3,14,140
88.9,0,92.1,40,1,145
85.8,0,95.4,45.6,2,145
85.4,0.1,100,99.8,6,145
84.7,0,94.7,56.4,7,145
84.6,0.1,100,100,13,145
84.6,0.2,94.7,59.9,14,145
88.4,0,91.6,38.1,1,150
84.8,0,94.3,43.2,2,150
83.3,0,100,99.9,6,150
82.7,0,94.2,57.4,7,150
83,0,100,100,13,150
83.6,0,94.4,59.5,14,150
