PTA_Cmin_75,PTA_Cmin_80,PTA_fAUC_200,PTA_fAUC_400,DAY,BW
65.6,0,98.5,72.1,1,30
59.6,0,93.7,62.2,2,30
57.6,0.2,100,99.7,6,30
58.9,0.3,93.5,61.2,7,30
57.4,0.3,100,100,13,30
59.1,0.4,93.5,61.2,14,30
68,0,98.5,67.6,1,35
63.1,0,93.1,60.3,2,35
61.2,0,100,99.8,6,35
61.4,0.3,92.5,60.5,7,35
62.4,0.2,100,100,13,35
62,0.3,92.5,60.4,14,35
70.6,0,98,64.2,1,40
66.2,0.1,94.2,59.9,2,40
64.8,0.1,100,99.6,6,40
64.8,0,93.1,61,7,40
65.9,0,100,100,13,40
64.4,0.1,93.1,61.1,14,40
69.3,0,97.8,58.8,1,45
65.6,0,94.3,57.6,2,45
65.4,0.3,100,99.8,6,45
64.9,0.1,93.8,58.5,7,45
64.9,0.2,100,100,13,45
65,0.2,93.8,58.6,14,45
70.4,0,97,52.6,1,50
69.1,0,94.1,55.5,2,50
66.6,0,100,99.7,6,50
67,0,93.7,57.8,7,50
66.8,0.1,100,100,13,50
66.5,0.1,93.7,57.8,14,50
72.7,0,96.3,51.1,1,55
71.2,0,94.3,55.3,2,55
70.6,0,100,100,6,55
71.6,0,94.2,61,7,55
71.2,0.2,100,100,13,55
71.5,0.2,94.2,61,14,55
72.8,0,95.7,44.4,1,60
71.2,0,95,51.7,2,60
71.3,0,100,99.8,6,60
70.8,0,94.7,58.8,7,60
71.3,0.2,100,100,13,60
71.9,0.1,94.7,58.9,14,60
73.5,0,94.7,43.1,1,65
72.8,0,93.9,52.4,2,65
72.6,0.1,100,99.8,6,65
72.7,0.2,94,59.8,7,65
73.2,0.4,100,100,13,65
72.5,0.5,94.1,60.3,14,65
73.3,0,94.8,38.6,1,70
75.4,0,94.3,48,2,70
74.9,0.1,100,99.9,6,70
75.4,0,94.5,58.6,7,70
76.1,0.4,100,100,13,70
74.9,0.5,94.5,59.1,14,70
73.4,0,92.4,35.5,1,75
74.1,0,93.2,48,2,75
74.8,0,100,99.7,6,75
75.8,0.1,93.5,61.3,7,75
75.4,0.2,100,100,13,75
74.4,0,93.5,62,14,75
74,0,91.7,30.6,1,80
75.9,0,93.8,45.8,2,80
79,0.2,100,99.9,6,80
77.9,0.1,94.6,60.9,7,80
77.8,0.5,100,100,13,80
77.9,0.5,94.6,61.7,14,80
72.1,0,90.4,28.7,1,85
77.3,0,93.8,43.2,2,85
77.5,0,100,99.7,6,85
77.2,0,94.4,59.4,7,85
77.8,0.3,100,99.9,13,85
77.6,0.1,94.4,60.1,14,85
72.8,0,89.5,27.2,1,90
77.7,0,91.5,42.1,2,90
79.4,0,100,100,6,90
79,0,93.8,60.3,7,90
78.9,0.4,100,100,13,90
79.4,0.4,93.8,61.2,14,90
70.1,0,87.2,22.9,1,95
75.6,0,92.9,37.2,2,95
78.5,0,100,99.7,6,95
79.5,0,94.9,55.1,7,95
79.3,0.4,100,100,13,95
78.4,0.3,94.9,56.5,14,95
70.5,0,86.6,23.6,1,100
76.8,0,93.3,38.2,2,100
79.2,0.1,100,99.7,6,100
78.6,0,95.1,59.5,7,100
79.8,0.5,100,100,13,100
78.7,0.6,95.1,60.6,14,100
69.4,0,82.9,20.5,1,105
75.8,0,89.4,36.5,2,105
78,0,100,99.8,6,105
77.8,0.1,91.8,57.3,7,105
78.2,0.3,100,100,13,105
79,0.2,91.8,59.3,14,105
66.7,0,80.3,20.8,1,110
76.6,0,90.1,35.4,2,110
79.8,0,100,99.9,6,110
81,0,92.9,58.7,7,110
80,0.2,100,99.9,13,110
80.6,0.1,92.9,60.9,14,110
66.3,0,80.8,17.9,1,115
77.2,0,90,33.8,2,115
80.7,0,100,99.6,6,115
80.1,0,94,56.1,7,115
81.7,0.1,100,100,13,115
80.8,0.4,94,58,14,115
68.9,0,79,16.8,1,120
77.7,0,90.1,33.5,2,120
82,0,100,99.9,6,120
81.8,0,94.2,59.3,7,120
82.6,0.2,100,100,13,120
82.7,0.4,94.2,61.8,14,120
65,0,77.8,13,1,125
77.3,0,89.3,29.4,2,125
82.3,0,100,99.5,6,125
82.7,0.1,93.6,56.6,7,125
82.3,0.7,100,100,13,125
81.5,0.4,93.6,60,14,125
65.7,0,75.3,12.9,1,130
78.2,0,90.1,28.2,2,130
83.7,0,100,99.8,6,130
82.8,0,94.4,58.1,7,130
82.6,0.1,100,100,13,130
83.1,0.1,94.5,61.6,14,130
64.5,0,73,11.9,1,135
78,0,88.2,28.9,2,135
83.2,0,100,99.8,6,135
83.5,0,93.5,57.6,7,135
84.2,0.1,100,100,13,135
83.9,0.1,93.5,61,14,135
62.7,0,73.4,12.3,1,140
74.6,0,87.9,26.4,2,140
81.1,0,100,99.9,6,140
80.4,0.1,93.7,51.8,7,140
81,0.3,100,100,13,140
81.5,0.2,93.8,55.2,14,140
60.7,0,69.3,11.2,1,145
77.1,0,87.3,25.1,2,145
84.9,0.1,100,99.8,6,145
84.5,0,94.6,54.5,7,145
84.5,0.1,100,100,13,145
84.6,0.2,94.7,59.9,14,145
59.2,0,67.6,9.4,1,150
74.6,0,85.8,24.1,2,150
82.9,0,100,99.9,6,150
82.6,0,93.9,56.2,7,150
83,0,100,100,13,150
83.6,0,94.4,59.5,14,150
