PTA_Cmin_75,PTA_Cmin_80,PTA_fAUC_200,PTA_fAUC_400,DAY,BW
72.9,0,99.4,83.2,1,30
61,0,93.8,65.6,2,30
57.6,0.2,100,99.7,6,30
58.9,0.3,93.5,61.2,7,30
57.4,0.3,100,100,13,30
59.1,0.4,93.5,61.2,14,30
73.7,0,99.6,80.7,1,35
64.7,0,93.8,64.3,2,35
61.2,0,100,99.8,6,35
61.4,0.3,92.5,60.5,7,35
62.4,0.2,100,100,13,35
62,0.3,92.5,60.5,14,35
77,0,99,77.2,1,40
67.6,0.1,94.6,64.9,2,40
65,0.1,100,99.6,6,40
64.8,0,93.1,61.1,7,40
65.9,0.1,100,100,13,40
64.4,0.1,93.1,61.1,14,40
76,0,99.3,73.9,1,45
67.4,0,94.8,61.2,2,45
65.5,0.3,100,99.8,6,45
65,0.1,93.8,58.5,7,45
64.9,0.2,100,100,13,45
65,0.2,93.8,58.6,14,45
78.1,0,99,68,1,50
70.7,0,94.7,60.2,2,50
66.6,0,100,99.7,6,50
67,0,93.7,57.8,7,50
66.8,0.1,100,100,13,50
66.5,0.1,93.7,57.8,14,50
79.8,0,98.4,66.1,1,55
73.1,0,95,60.3,2,55
70.6,0,100,100,6,55
71.6,0,94.2,61.1,7,55
71.2,0.2,100,100,13,55
71.5,0.2,94.2,61,14,55
81.1,0,98.3,60.3,1,60
73.1,0,95.6,57.6,2,60
71.3,0,100,99.8,6,60
70.9,0,94.7,58.9,7,60
71.3,0.2,100,100,13,60
71.9,0.1,94.7,58.9,14,60
79.9,0,98,61.5,1,65
74.3,0,95.2,57.1,2,65
72.9,0.1,100,99.8,6,65
72.7,0.2,94.1,60,7,65
73.2,0.4,100,100,13,65
72.5,0.5,94.1,60.3,14,65
81.8,0,97.4,57,1,70
76.7,0,95.3,56,2,70
75,0.1,100,99.9,6,70
75.4,0,94.5,58.6,7,70
76.1,0.4,100,100,13,70
74.9,0.5,94.5,59.1,14,70
80,0,96.3,52.1,1,75
76.5,0,93.8,54.9,2,75
74.8,0,100,99.7,6,75
75.9,0.1,93.5,61.6,7,75
75.4,0.2,100,100,13,75
74.4,0,93.5,62,14,75
80.7,0,95.9,46.6,1,80
78.8,0,95.3,52.6,2,80
79,0.2,100,99.9,6,80
77.9,0.1,94.6,61,7,80
77.8,0.5,100,100,13,80
77.9,0.5,94.6,61.7,14,80
82.2,0,95.2,43.8,1,85
78.7,0,95.4,50.7,2,85
77.5,0,100,99.7,6,85
77.2,0.1,94.4,59.7,7,85
77.8,0.3,100,99.9,13,85
77.6,0.1,94.4,60.1,14,85
80.5,0,94.6,43.9,1,90
79.8,0,93.4,50.4,2,90
79.4,0,100,100,6,90
79,0.1,93.8,60.3,7,90
78.9,0.4,100,100,13,90
79.4,0.4,93.8,61.2,14,90
81.1,0,92.1,37.3,1,95
77.6,0,94.7,44.3,2,95
78.5,0,100,99.7,6,95
79.5,0,94.9,55.2,7,95
79.3,0.4,100,100,13,95
78.4,0.3,94.9,56.5,14,95
80.1,0,92.8,37.6,1,100
79.9,0,95.1,45.8,2,100
79.4,0.1,100,99.7,6,100
78.6,0,95.1,59.6,7,100
79.8,0.5,100,100,13,100
78.7,0.6,95.1,60.6,14,100
77.7,0,90.5,34,1,105
79.5,0,91.8,43.8,2,105
78,0,100,99.8,6,105
77.9,0.2,91.9,57.6,7,105
78.2,0.3,100,100,13,105
79,0.2,91.8,59.4,14,105
76.5,0,89.5,32.6,1,110
80.4,0,92.3,42.5,2,110
79.9,0.1,100,99.9,6,110
81,0,92.9,59,7,110
80,0.2,100,99.9,13,110
80.6,0.1,92.9,60.9,14,110
77.5,0,89.1,30.7,1,115
79.9,0,92.8,42,2,115
80.9,0,100,99.6,6,115
80.1,0,94,56.2,7,115
81.7,0.1,100,100,13,115
80.8,0.4,94,58.1,14,115
78.9,0,87.9,29.5,1,120
80.8,0,92.9,40.9,2,120
82.1,0,100,99.9,6,120
81.8,0,94.2,59.7,7,120
82.6,0.2,100,100,13,120
82.7,0.4,94.2,61.8,14,120
75.6,0,86.2,23.9,1,125
81.5,0,91.8,36.2,2,125
82.3,0,100,99.5,6,125
82.8,0.1,93.6,57.1,7,125
82.3,0.7,100,100,13,125
81.5,0.4,93.6,60,14,125
76.9,0,84.6,25.3,1,130
81.6,0,92.4,36.9,2,130
83.7,0,100,99.8,6,130
82.8,0,94.5,58.7,7,130
82.6,0.1,100,100,13,130
83.1,0.1,94.5,61.7,14,130
75.4,0,82.6,22.2,1,135
82.1,0,91,34.8,2,135
83.5,0,100,99.8,6,135
83.6,0,93.5,58.2,7,135
84.2,0.1,100,100,13,135
83.9,0.1,93.5,61,14,135
75.6,0,82.7,22.3,1,140
78.6,0,91.1,34.1,2,140
81.3,0,100,99.9,6,140
80.5,0.1,93.7,52.5,7,140
81,0.3,100,100,13,140
81.5,0.2,93.8,55.2,14,140
74.8,0,80.5,20.1,1,145
81.2,0,89.9,31.3,2,145
85.1,0.1,100,99.8,6,145
84.6,0,94.6,55.2,7,145
84.5,0.1,100,100,13,145
84.6,0.2,94.7,59.9,14,145
72.9,0,80.2,19,1,150
80,0,89.7,29.8,2,150
83,0,100,99.9,6,150
82.7,0,94,56.5,7,150
83,0,100,100,13,150
83.6,0,94.4,59.5,14,150
