threshold,specificity,sensitivity
-Inf,0,1
34.35,0.000112874097007224,0.998941346547489
34.55,0.000290247678018576,0.997886957560044
35.4,0.000370872033023736,0.996826171875
36.15,0.00048374613003096,0.995767518422489
36.3,0.000532120743034056,0.994704600504913
37,0.000757868937048504,0.993653409866266
37.75,0.000790118679050568,0.992589425832424
37.95,0.000999742002063983,0.991537169077511
38.35,0.00128998968008256,0.99049024290393
39,0.00204785861713106,0.989474234102074
39.35,0.00225748194014448,0.988421977347162
39.7,0.00246710526315789,0.987369720592249
41,0.00333784829721362,0.986361174604258
42.9,0.00385384416924665,0.985329174058406
43.9,0.00433759029927761,0.984295041280022
44.05,0.00474071207430341,0.983255577920306
44.15,0.00583720330237358,0.980129725027293
44.65,0.0076593137254902,0.977051847366266
45.45,0.00812693498452012,0.976016648471616
45.95,0.00859455624355005,0.974981449576965
46.35,0.00904605263157895,0.973945184566048
47,0.00943304953560371,0.972904655090066
47.75,0.00991679566563467,0.971870522311681
48.65,0.0110455366357069,0.970879034183952
49.65,0.0116582817337461,0.969853430335699
50.25,0.0124806501547988,0.968841685998908
50.55,0.0130450206398349,0.967812883801856
50.85,0.01359326625387,0.966783015488537
51.05,0.0183984778121775,0.959637904271288
51.25,0.0188499742002064,0.958601639260371
51.55,0.0208655830753354,0.956602671260917
51.75,0.0215912022703818,0.955584530226528
51.9,0.0228166924664603,0.953533322530022
52.05,0.0281540247678019,0.945357276883188
52.2,0.0296052631578947,0.94332099481441
52.4,0.0307823787409701,0.941266588769105
52.55,0.0315241228070175,0.940249513850983
52.65,0.0328141124871001,0.938202570619541
52.75,0.0335397316821465,0.937184429585153
52.85,0.0351683436532508,0.935159874795306
52.95,0.03578108875129,0.934134270947052
53.1,0.0379256965944272,0.932143831877729
53.35,0.0386190660474716,0.931123558610808
53.55,0.0393446852425181,0.930105417576419
53.65,0.0401509287925697,0.929092607123362
53.75,0.0414570433436533,0.927046730008188
53.9,0.0423761609907121,0.926041382368996
54.15,0.0466492518059856,0.920993321847707
54.45,0.047358746130031,0.919974114697052
54.7,0.048374613003096,0.918975163755459
54.9,0.0500838493292054,0.916955939546943
55.1,0.059500773993808,0.905851272516376
55.25,0.0603070175438596,0.904838462063319
55.55,0.0612100103199174,0.90383204830786
55.85,0.0622258771929825,0.902833097366266
56,0.0630966202270382,0.901824551378275
56.45,0.064515608875129,0.900852253343341
56.9,0.0660635964912281,0.899888484238537
57.2,0.0745291537667699,0.890853148881004
57.95,0.075593395252838,0.88985739628821
58.65,0.0767221362229102,0.88886590816048
58.9,0.0779315015479876,0.887879750614083
59.2,0.0789312435500516,0.886879733556223
