threshold,specificity,sensitivity
Inf,0,1
141.25,0.00211635641169611,0.999083328945205
140.4,0.00443427057688708,0.99818170290186
140.05,0.00685296361882549,0.997287599364241
139.9,0.0358916771044789,0.984410144206435
139.7,0.0376049180091853,0.983463383128739
139.35,0.0389294403892944,0.982487606671818
139.05,0.0401243899278711,0.981502158421821
137.15,0.0413769273960178,0.980521008746525
134.6,0.0424279071106696,0.979524814059778
133.45,0.0436804445788163,0.978543664384482
131.15,0.044817806187823,0.977553917559785
127.55,0.0460847406383622,0.976573842528164
123.85,0.0470925294058365,0.975574423910392
121.75,0.0533408197641774,0.974966175590329
121,0.0556299399645834,0.97298775658461
120.35,0.0565945377848803,0.971985114035814
120.15,0.0626988583192963,0.971366119279
119.9,0.112368447573389,0.943908973382151
119.75,0.115262241034279,0.943050333085807
119.6,0.116068472048259,0.942035869456585
119.3,0.122273571459422,0.941424397205497
119.05,0.12515296793792,0.940564682265478
118.75,0.125930404987115,0.939548069348906
118.35,0.128665831641688,0.938677607972137
117.35,0.129284901884565,0.937649173975139
115.75,0.129817590233087,0.936614292116092
114.9,0.131962740609568,0.9335504829986
114.45,0.135029297859169,0.932704738426356
113.8,0.135619574137261,0.931674155142009
113,0.138340603809442,0.930802619121565
112.2,0.139046055946674,0.929780632986618
111.85,0.139621935242373,0.928748975058595
111.7,0.140212211520465,0.927718391774247
111.45,0.141551130882967,0.925669046285978
111.2,0.142127010178667,0.924637388357955
110.95,0.142904447227861,0.923620775441383
110.2,0.143465929541168,0.922588042869685
109.5,0.14405620581926,0.921557459585338
109.25,0.147122763068861,0.920711715013095
109,0.147655451417383,0.919676833154047
108.7,0.14827452166026,0.91864839915705
108.4,0.155660173627608,0.915975760337266
108.15,0.157819720986481,0.912913025863449
107.95,0.159619343785543,0.909823425297757
107.75,0.162325976475331,0.908950814633638
107.35,0.162815473876675,0.907912708843565
107,0.16347773506673,0.906887498777593
106.8,0.164068011344822,0.905856915493245
106.65,0.164658287622914,0.904826332208898
106.55,0.165421327689716,0.903808644648651
106.45,0.165896428108668,0.902769464214903
106.25,0.166371528527621,0.901730283781155
106.05,0.166961804805713,0.900699700496808
105.95,0.183302379821189,0.891172984317725
105.8,0.183849465152104,0.890139177102352
105.6,0.184425344447804,0.88910751917433
105.35,0.184900444866756,0.888068338740582
105.15,0.191710217538404,0.886427357848821
105.05,0.192458860622813,0.885408595644899
104.9,0.237017521127572,0.86186852594351
104.6,0.237507018528916,0.860830420153438
104.15,0.23989691760607,0.859934167328468
103.85,0.240372018025022,0.85889498689472
103.65,0.240875912408759,0.857857955748323
103.45,0.241480585669244,0.85682844710765
103.2,0.242344404612793,0.854743638378105
102.85,0.242718726154998,0.853696935438632
102.5,0.244935861443441,0.852787786889562
102.25,0.245698901510243,0.850695455654291
102.05,0.252206337551649,0.849031907245355
101.85,0.253242920283908,0.84695999423991
101.65,0.254452266804878,0.844900976958565
101.45,0.254855382311867,0.843856423306442
101.2,0.25527289480125,0.842812944297994
100.9,0.256554226234181,0.839684656560001
100.75,0.257158899494666,0.838655147919329
100.65,0.257590808966441,0.837612743554556
