TIME,median,min,max
314,30.36,13.53,70.34
315,29.75,13.2,69.61
316,29.28,12.88,68.97
318,28.35,12.27,67.67
320,27.52,11.62,66.5
324,25.92,10.38,64.32
330,23.84,8.66,61.19
333,22.88,7.91,59.67
334.5,22.39,7.52,59.04
335.9,21.98,7.19,58.32
