threshold,specificity,sensitivity
Inf,0,1
141.25,0.00305943709527848,0.999297348578046
140.4,0.00613472619623198,0.99859698592294
140.05,0.00921001529718548,0.997896623267833
139.9,0.0504648600664199,0.98783177105923
139.7,0.0533974811162982,0.987110809502502
139.35,0.0561081740867263,0.98635780520992
139.05,0.0586761990060792,0.985584202015717
137.15,0.0614185959878574,0.984835775256828
134.6,0.0636458027851974,0.98401296357542
133.45,0.0660632336506377,0.983217617096173
131.15,0.0685202945302654,0.982427992534043
127.55,0.0706523892935554,0.981591448251554
123.85,0.0725070739575325,0.980714850549247
121.75,0.0770248955749126,0.980222765677195
121,0.0811464170504173,0.978529078210596
120.35,0.083104139751282,0.977667357492793
120.15,0.0874555153090745,0.97715124056885
119.9,0.150728795960909,0.953099734159731
119.75,0.152607258633399,0.952226569607694
119.6,0.154446091291701,0.95134768313854
119.3,0.158995616920431,0.950860175800181
119.05,0.160786893561708,0.949974423030488
118.75,0.16272083825406,0.949109269162414
118.35,0.164266408807374,0.948188040506596
117.35,0.165986351423114,0.947291988286091
115.75,0.167737998050203,0.94640051359928
114.9,0.172977085925797,0.943723800772001
114.45,0.174562286493299,0.942808294033299
113.8,0.176345637131738,0.941921396880182
113,0.177859503673702,0.94099559069067
112.2,0.179555668280929,0.940096105319895
111.85,0.181006126800193,0.939161144062996
111.7,0.182535845347833,0.938237626640331
111.45,0.185571504434599,0.93638715864473
111.2,0.187323151061688,0.935495683957919
110.95,0.188963833649052,0.934588187903181
110.2,0.190398440162642,0.933650937879435
109.5,0.191745860645018,0.932701099638031
109.25,0.193196319164282,0.931766138381132
109,0.194496183629634,0.930809433839189
108.7,0.195946642148898,0.92987447258229
108.4,0.202921524645906,0.92744837972473
108.15,0.207241196192348,0.924638918420339
107.95,0.211719387795541,0.921852344784415
107.75,0.213043030269405,0.920899073392742
107.35,0.214414228760294,0.919952668301609
107,0.215936021305096,0.91902800649552
106.8,0.217299293793147,0.918080457020964
106.65,0.218662566281199,0.917132907546408
106.55,0.22008924679195,0.916194513139238
106.45,0.221706151370802,0.91528358393423
106.25,0.222990163830479,0.91432459062544
106.05,0.224337584312855,0.913374752384037
105.95,0.242987468989514,0.904623652345471
105.8,0.244287333454865,0.903666947803528
105.6,0.245658531945754,0.902720542712395
105.35,0.246990100422456,0.901768415704145
105.15,0.2523243003321,0.900249818901323
105.05,0.253766832848526,0.899313713261001
104.9,0.297534220517251,0.877023412940459
104.6,0.298802380971252,0.876062130864822
104.15,0.300086393430929,0.875103137556032
103.85,0.301330775876418,0.874138422330125
103.65,0.302701974367307,0.873192017238992
103.45,0.303898800795771,0.872220435712545
103.2,0.306252823638511,0.870271550742533
102.85,0.3074337980613,0.869297680449239
102.5,0.308678180506789,0.868332965223332
102.25,0.310921239309804,0.866368058885393
102.05,0.316112771168372,0.864828863180951
101.85,0.31847472001395,0.862881122594363
101.65,0.321034818930465,0.860961991593359
101.45,0.322271275373117,0.859996131984029
101.2,0.323349211759018,0.859007384706231
100.9,0.326876283021709,0.856083485059502
100.75,0.328120665467198,0.855118769833595
100.65,0.329246157870125,0.854136888856338
100.55,0.330442984298588,0.85316530732989
100.45,0.33148921667314,0.852171982518399
100.2,0.332686043101603,0.851200400991952
99.8,0.36015756893641,0.83342354889321
99.55,0.361457433401761,0.832466844351266
99.4,0.362614629816037,0.831489540907702
99.25,0.366379481163854,0.830888739610429
99.15,0.367568381589481,0.829916013700558
99.05,0.371475900988373,0.829335811304906
98.95,0.378371523457005,0.823465124342981
