threshold,specificity,sensitivity
Inf,0,1
141.25,0.00194633228039948,0.999063284819026
140.4,0.00397243227720877,0.998131904006964
140.05,0.00625378896652947,0.997217593175422
139.9,0.0328642991608436,0.984060905690491
139.7,0.0343639322293481,0.98309431804361
139.35,0.0355764015187773,0.982108526668644
139.05,0.0365017070291312,0.981103531565595
137.15,0.0374908267126129,0.980102803957675
134.6,0.0383523180498389,0.979093541359496
133.45,0.0394690660795763,0.978101348741836
131.15,0.0404900928496219,0.977102754881481
127.55,0.0415908873360773,0.976109495390038
123.85,0.0424204715867394,0.975098099044294
121.75,0.0489933314189081,0.974470777260225
121,0.0509715707858715,0.972469322044386
120.35,0.0518809227529434,0.971463260067554
120.15,0.0583102006955745,0.970826336419444
119.9,0.106043202195208,0.943079083085996
119.75,0.10850004786063,0.94217650786606
119.6,0.109217957308318,0.941157643403839
119.3,0.115742956510641,0.940527120998423
119.05,0.118231709262627,0.939626679526052
118.75,0.118853897450624,0.938601413821136
118.35,0.121071439966817,0.937682835494464
117.35,0.121534092721994,0.936646901051724
115.75,0.121964838390607,0.935608832861419
114.9,0.123831402954596,0.932533035746673
114.45,0.126336109249864,0.931633661148084
113.8,0.126766854918477,0.930595592957779
113,0.129016304521234,0.929679148378672
112.2,0.129654446252513,0.928654949547539
111.85,0.130180913180817,0.927623282599929
111.7,0.130675473022558,0.926589481904754
111.45,0.131792221052296,0.924530415504663
111.2,0.132334641523882,0.923499815430836
110.95,0.133052550971571,0.922480950968615
110.2,0.133547110813312,0.92144715027344
109.5,0.134057624198334,0.920414416452047
109.25,0.136530423407039,0.919512908105894
109,0.136929261989088,0.918472706168024
108.7,0.137471682460675,0.917442106094196
108.4,0.145017708433043,0.914746116045995
108.15,0.146932133626879,0.911673519552596
107.95,0.148479627325229,0.908576384962201
107.75,0.150808844644396,0.907665274752005
107.35,0.151207683226445,0.906625072814136
107,0.151861778501005,0.905601940856785
106.8,0.152452059602438,0.904574541404305
106.65,0.152962572987461,0.903541807582912
106.55,0.153632621805303,0.902519742499344
106.45,0.154047413930634,0.901480607435257
106.25,0.154414345426119,0.900438271749822
106.05,0.155004626527552,0.899410872297342
105.95,0.171803707603459,0.889865552565938
105.8,0.172330174531763,0.888833885618328
105.6,0.172824734373504,0.887800084923153
105.35,0.173287387128681,0.886764150480413
105.15,0.180546249321974,0.885115830486559
105.05,0.181136530423407,0.884088431034078
104.9,0.224578028780192,0.860321683782878
104.6,0.224960913818959,0.859280414971226
104.15,0.227018920902332,0.85835116790673
103.85,0.227417759484381,0.85731096596886
103.65,0.227816598066431,0.856270764030991
103.45,0.228279250821607,0.855234829588251
103.2,0.228981206726014,0.853148024469817
102.85,0.229332184678217,0.8521046219106
102.5,0.231071120895951,0.851154037370455
102.25,0.231725216170511,0.849064031630674
102.05,0.238633100411601,0.847392240413606
101.85,0.239590313008519,0.845322505275691
101.65,0.240627293321847,0.843258104506688
101.45,0.240946364187486,0.842212568199907
101.2,0.241265435053125,0.841167031893125
100.9,0.242493857885836,0.838048559827081
100.75,0.243036278357423,0.837017959753253
100.65,0.24341916339619,0.835976690941601
100.55,0.243770141348393,0.834933288382385
100.45,0.244153026387161,0.833892019570733
100.2,0.244535911425928,0.832850750759081
99.8,0.266344405092371,0.814038565353487
99.55,0.266838964934112,0.813004764658312
99.4,0.268912925560767,0.812076584467598
99.25,0.275230528700424,0.81143219270301
99.15,0.275804856258575,0.810403726376747
99.05,0.282473437350436,0.809782805835373
98.95,0.284930283015858,0.803545861703285
98.8,0.297996234963785,0.802285883766235
98.6,0.304585048339236,0.801659628855949
98.25,0.305031747551131,0.800622627539426
97.9,0.311413164863916,0.788246891663235
97.45,0.311732235729556,0.787201355356453
97.05,0.312561819980218,0.785123085228279
96.65,0.315353690054561,0.777841671663192
96.25,0.319724960913819,0.774933373732287
96.15,0.321942503430012,0.774014795405615
96.05,0.322421109728471,0.772979927836657
95.95,0.326824287674292,0.761538773393875
95.85,0.328499409718899,0.7605839213586
95.7,0.329217319166587,0.758498183113949
95.3,0.329679971921764,0.757462248671209
94.85,0.355620433298236,0.730391393315822
94.65,0.356035225423567,0.729352258251735
94.35,0.356290482116078,0.728302454449824
94.05,0.36232092147666,0.727638858957152
93.95,0.369659551386363,0.723862125767349
93.6,0.370233878944514,0.722833659441086
93.2,0.372084489965221,0.721890543017418
93,0.378242557672059,0.721235482515006
92.8,0.378593535624262,0.720192079955789
92.65,0.385309977345969,0.718507486253331
92.3,0.385676908841454,0.717465150567897
91.95,0.387080820650266,0.712224666548599
91.65,0.387367984429342,0.711176996494253
91.35,0.393781308828691,0.710539005972359
91.25,0.394196100954022,0.709499870908272
91,0.394515171819661,0.708454334601491
90.75,0.394770428512173,0.707404530799579
90.55,0.395105452921094,0.70636006136658
90.35,0.396748667879136,0.70540307558374
90.15,0.398375929293896,0.704445022927118
89.8,0.500941259053636,0.637689663486672
89.4,0.501802750390862,0.635613527106062
89.1,0.5079608180977,0.63495846660365
88.55,0.508232028333493,0.633909729675521
87.95,0.51016240707061,0.631905073838334
87.6,0.516623592099805,0.631270283937789
87.35,0.516974570052009,0.630226881378572
87.2,0.517325548004212,0.629183478819355
87.05,0.517692479499697,0.62814114313392
86.95,0.526323346415239,0.620183331590773
86.75,0.526961488146517,0.618092258977209
86.35,0.527216744839029,0.617042455175298
86.05,0.527950607829999,0.614957783804429
85.95,0.531715644044542,0.607741449540071
85.8,0.531954947193772,0.606690578864377
85.45,0.533965093647299,0.605758131178533
85.15,0.534714910181551,0.603674526681446
85.05,0.535018027503909,0.602627923500882
84.85,0.55778373376727,0.577478507827653
84.5,0.558054944003063,0.576429770899524
83.95,0.558342107782138,0.575382100845177
83.45,0.558645225104496,0.574335497664613
83.15,0.558996203056699,0.573292095105396
82.95,0.566271018793274,0.570577968202894
82.8,0.566510321942503,0.5695270975272
82.5,0.566861299894707,0.568483694967983
82.25,0.567180370760346,0.567438158661201
82.15,0.567403720366293,0.566386221111725
82.05,0.567643023515523,0.565335350436031
81.95,0.569525541622794,0.556926251282916
81.75,0.569796751858588,0.555877514354787
81.55,0.570195590440637,0.553770438634487
81.3,0.57046680067643,0.552721701706358
81.05,0.570738010912224,0.551672964778229
80.95,0.589084585686481,0.542231131803721
80.85,0.589276028205865,0.54117706050668
80.75,0.58948342426853,0.540124056083421
80.65,0.590935196707189,0.539154267815192
80.55,0.591142592769854,0.538101263391933
80.3,0.598082384097508,0.53643160592243
80.05,0.598385501419865,0.535385002741866
79.95,0.65905682652117,0.462627411401467
79.85,0.659359943843528,0.460513934438472
79.75,0.659631154079321,0.459465197510343
79.65,0.666586898950257,0.458863480697053
79.45,0.667783414696404,0.457876622448305
79.15,0.667863182412814,0.456815083034786
78.85,0.668517277687374,0.451524455947715
78.35,0.668628952490348,0.450465050281761
77.95,0.683401933569446,0.419446761931383
77.85,0.683465747742574,0.418384155644082
77.75,0.683561469002265,0.417323683104347
77.55,0.683689097348521,0.415198470529746
77.35,0.683816725694777,0.414140131737575
77.25,0.68392840049775,0.413080726071621
77.1,0.68400816821416,0.412019186658103
76.95,0.690708656392585,0.409266652299433
76.85,0.690772470565713,0.408204046012133
76.75,0.690852238282122,0.407142506598614
76.65,0.698446124884337,0.40444971717176
76.45,0.698765195749976,0.402337307082548
76.25,0.698860917009668,0.401276834542813
76.15,0.712517150059028,0.395788835805991
76.05,0.713011709900769,0.390487539981095
75.95,0.713394594939536,0.387312523604582
75.75,0.713474362655946,0.386250984191064
75.55,0.713538176829074,0.385188377903764
75.35,0.713713665805175,0.38306636595051
75.15,0.713825340608149,0.382006960284557
75.05,0.714032736670815,0.379887082078868
74.95,0.758782425576721,0.337004090394082
74.75,0.758814332663284,0.335939350359216
74.45,0.758973868096104,0.33381627153218
74.15,0.759037682269232,0.33275366524488
73.85,0.767732363357902,0.323733247414431
73.6,0.767859991704158,0.322674908622261
73.3,0.774353083819916,0.322042252469279
72.85,0.774448805079608,0.320981779929544
72.35,0.7755176924795,0.319986386690536
72.05,0.775565553109346,0.318922713529453
71.65,0.79600204205354,0.29681815563128
71.25,0.796017995596822,0.295752348722632
71.15,0.796049902683386,0.294687608687767
71.05,0.796065856226668,0.293621801779119
70.95,0.810934558565457,0.273278652495738
70.85,0.810982419195303,0.271148105552225
70.75,0.811030279825149,0.270084432391142
