TIME,median,min,max
288.1,22.043,7.196595,58.931
288.25,25.042,9.4836,64.332
288.5,29.791,12.392,72.873
288.6,29.49,12.258,71.909
289,28.545,11.848,69.6700499999999
289.5,27.938,11.475,68.4270499999999
290,27.549,11.198,67.799
291,27.034,10.769,67.075
292,26.583,10.353,66.494
294,25.775,9.5537,65.358
296,25.04,8.797,64.15
300,23.622,7.417895,62.172
306,21.715,5.681395,59.15
309,20.836,4.9474,57.635
310.5,20.409,4.6095,57.043
311.9,20.034,4.3284,56.404
312.1,22.047,6.4993,59.964
312.25,24.991,8.9942,65.2130499999999
312.5,29.7395,12.073,73.7020499999999
312.6,29.404,11.953,72.7920499999999
313,28.508,11.532,70.478
313.5,27.939,11.201,69.4050499999999
314,27.579,10.963,68.7810999999999
315,27.096,10.577,68.102
316,26.718,10.255,67.4930499999999
318,25.948,9.6309,66.2690499999999
320,25.267,9.0414,65.1310499999999
324,23.868,7.987195,63.0820999999999
330,22.0095,6.581895,60.063
333,21.1665,5.9618,58.6060499999999
334.5,20.729,5.677,57.943
335.9,20.343,5.4047,57.244
