threshold,specificity,sensitivity
Inf,0,1
141.25,0.00498667354483707,0.999094946648948
140.4,0.0106611641303413,0.998206274354023
140.05,0.0163786432808873,0.997318625875107
139.9,0.0854612673028974,0.984630474088241
139.7,0.0895451809818588,0.983703920601021
139.35,0.0927263347949445,0.982755866977634
139.05,0.0951766830023214,0.981790408482111
137.15,0.0979279511649901,0.980832116698644
134.6,0.100249333677242,0.979863586755097
133.45,0.103086578969994,0.978907342603646
131.15,0.105665892872496,0.977944955556147
127.55,0.108503138165248,0.976988711404696
123.85,0.110652566417333,0.976016086197117
121.75,0.113661765970252,0.975063937309698
121,0.118734416645172,0.973137115582684
120.35,0.121055799157424,0.972168585639138
120.15,0.124022010145301,0.97121541293571
119.9,0.18850485770785,0.943060472716327
119.75,0.190482331699768,0.942083752244717
119.6,0.192416817126644,0.941106007957098
119.3,0.194738199638896,0.940137478013551
119.05,0.196672685065773,0.939159733725933
118.75,0.198478204797524,0.93817891799029
118.35,0.200842575874817,0.937211411862751
117.35,0.202218209956152,0.936220357967029
115.75,0.203464878342361,0.935226232623283
114.9,0.208709483277448,0.932279690152323
114.45,0.210815922964491,0.931306041128737
113.8,0.211976614220617,0.930309868152974
113,0.214126042472702,0.929337242945396
112.2,0.215802596509329,0.928353355761729
111.85,0.217049264895538,0.927359230417983
111.7,0.218338921846789,0.926366128890245
111.45,0.221262144269624,0.924388116362832
111.2,0.222723755481042,0.923399110099126
110.95,0.224572263777835,0.922419318179491
110.2,0.225990886424211,0.921429288099777
109.5,0.227452497635629,0.920440281836071
109.25,0.229386983062505,0.919462537548452
109,0.230590662883673,0.918467388388698
108.7,0.232095262660132,0.917479405941
108.4,0.237984696070845,0.91454822071016
108.15,0.242971369615682,0.911595535343152
107.95,0.247270226119852,0.908626468920017
107.75,0.249548620067062,0.907656915160463
107.35,0.250795288453271,0.906662789816716
107,0.252643796750064,0.905682997897082
106.8,0.254277362221649,0.904698086897407
106.65,0.255610007737942,0.903706009185677
106.55,0.25758748172986,0.902729288714067
106.45,0.258705184420944,0.901732091922296
106.25,0.259822887112028,0.900734895130526
106.05,0.261456452583613,0.899749984130852
105.95,0.277491187344166,0.889893707422052
105.8,0.278952798555584,0.888904701158345
105.6,0.280414409767002,0.887915694894639
105.35,0.281661078153211,0.886921569550893
105.15,0.285916946092339,0.884975295319728
105.05,0.287550511563924,0.883990384320053
104.9,0.328733556873872,0.859375799856256
104.6,0.329808270999914,0.858377579248478
104.15,0.331656779296707,0.857397787328844
103.85,0.33273149342275,0.856399566721065
103.65,0.333806207548792,0.855401346113287
103.45,0.335224830195168,0.854411316033573
103.2,0.337116327057003,0.852408731921969
102.85,0.338105064052962,0.851408463682175
102.5,0.339867595219672,0.850426624130524
102.25,0.341630126386381,0.848420968570896
102.05,0.345284154414926,0.846460360915619
101.85,0.347820479752386,0.844473134044135
101.65,0.350743702175221,0.842495121516722
101.45,0.351689450606139,0.84149382946092
101.2,0.352549221906973,0.840490489773102
100.9,0.355859341415184,0.837497875581783
100.75,0.357406929756685,0.836510916950093
100.65,0.358395666752644,0.835510648710299
100.55,0.359255438053478,0.834507309022481
100.45,0.36033015217952,0.833509088414703
100.2,0.361361877740521,0.832509843990917
99.8,0.388530650846875,0.813704391556385
99.55,0.390035250623334,0.812716409108686
99.4,0.392528587395753,0.811751974429171
99.25,0.395193878428338,0.810791635013688
99.15,0.396870432464964,0.809807747830022
99.05,0.399363769237383,0.808843313150507
98.95,0.406327916774138,0.802866275295934
98.8,0.41170148740435,0.800946620280976
98.6,0.414753675522311,0.799995495209565
98.25,0.416043332473562,0.799002393681827
97.9,0.430229558937323,0.787054460868728
